ID_MAXIMO,Route,Order,Night_shift,longitude,latitude,ID,Service_time
Depot,,0,100,4.34894911389561,52.0653854823115,0,0
HLS0138,1.0,1,0,4.376993,52.050768,1,18
HLS0139,1.0,2,0,4.377239,52.05086,13,18
HLT3905,2.0,1,0,4.33705246394757,52.0689586013162,55,15
HLT3908,3.0,1,0,4.340601,52.067071,25,9
HLT7119,4.0,1,0,4.352312,52.067093,22,18
HLT2649,5.0,1,0,4.33931637114307,52.0843828889647,99,18
HLT2637,5.0,2,0,4.33684134900341,52.0865157166829,100,15
HLS0182,5.0,3,0,4.335973,52.088369,76,9
HLS0129,5.0,4,0,4.339957,52.090202,65,15
HLS0362,5.0,5,0,4.331293,52.092507,68,15
HLS0366,5.0,6,0,4.335599,52.094361,69,9
HLS0367,5.0,7,0,4.347509,52.09932,70,9
HLS0365,5.0,8,0,4.358149,52.105005,71,9
HLS0368,5.0,9,0,4.346273,52.099103,72,15
HLS0364,5.0,10,0,4.334929,52.094274,73,9
HLT0431,5.0,11,0,4.326403,52.096265,134,18
HLT0416,5.0,12,0,4.32193029175675,52.1001790236594,135,18
HLT0415,5.0,13,0,4.32156599743908,52.1001717034707,152,15
HLT0430,5.0,14,0,4.326409,52.096022,153,15
HLS0363,5.0,15,0,4.329667,52.09216,74,9
HLS0363,5.0,16,0,4.329667,52.09216,154,9
HLS0125,5.0,17,0,4.328673,52.084834,67,9
HLS0124,5.0,18,0,4.329035,52.084945,75,9
HLS0157,5.0,19,0,4.332999,52.081448,94,15
HLS0316,5.0,20,0,4.335131,52.079507,95,18
HLS0147,5.0,21,0,4.337596,52.077642,96,15
HLT3912,6.0,1,0,4.336626,52.069903,51,9
HLT0511,7.0,1,0,4.305544,52.089765,219,15
HLT0510,7.0,2,0,4.305635,52.090243,218,15
HLT0504,7.0,3,0,4.30265277689089,52.0933089689487,159,18
HLT0503,7.0,4,0,4.30207935405249,52.0939709414044,158,15
HLT0605,7.0,5,0,4.30115079503412,52.0946637597382,157,9
HLT0727,7.0,6,0,4.28913714381468,52.1072879836596,176,9
HLT0726,7.0,7,0,4.28868138576308,52.1070809777064,175,18
HLT0725,7.0,8,0,4.28639333811982,52.104617517952,177,18
HLT0724,7.0,9,0,4.28629427503056,52.1040868685722,179,15
HLT0734,7.0,10,0,4.28310135961231,52.1014730771013,178,16
HLT0904,7.0,11,0,4.28151634258156,52.0991939850492,204,18
HLT0905,7.0,12,0,4.28133152309854,52.0989761989589,203,15
HLT0911,7.0,13,0,4.27817729560765,52.0954738560172,202,15
HLT0910,7.0,14,0,4.2779008915119,52.0953394429413,201,15
HLT0912,7.0,15,0,4.276237,52.09236,200,9
HLT0944,7.0,16,0,4.278274,52.090842,198,9
HLT1106,7.0,17,0,4.27946560860845,52.0883699908259,192,15
HLT1125,7.0,18,0,4.27800489877421,52.0875793139329,193,15
HLT1103,7.0,19,0,4.27804922351556,52.0872465784974,216,15
HLT0932,7.0,20,0,4.274044,52.086047,195,15
HLT0930,7.0,21,0,4.277596,52.087573,194,18
HLT1117,7.0,22,0,4.28699681366676,52.0852006860692,238,15
HLT1124,7.0,23,0,4.29223345216926,52.0848907024605,239,9
HLT0515,7.0,24,0,4.301436,52.087085,217,15
HLT2401,7.0,25,0,4.31645272209252,52.0848837193078,160,9
HLT3906,8.0,1,0,4.3364707744107,52.0701556590412,54,18
HLT2403,9.0,1,0,4.31683348723635,52.0848754088929,161,15
HLT0226,9.0,2,0,4.29813714441596,52.1090120342029,162,9
HLT0225,9.0,3,0,4.29679152688367,52.1101260213315,163,18
HLT0223,9.0,4,0,4.29589280932128,52.1112833139141,167,15
HLT0224,9.0,5,0,4.29632906024534,52.111317114036,166,18
HLT0309,9.0,6,0,4.306603,52.10937,165,18
HLT0310,9.0,7,0,4.30846406104529,52.108784020229,164,18
HLT0403,9.0,8,0,4.31814917046317,52.1031156242217,145,18
HLT0404,9.0,9,0,4.31796413410107,52.1035931062374,136,18
HLT0406,9.0,10,0,4.317923,52.104215,137,9
HLT0408,9.0,11,0,4.323166,52.105359,139,9
HLT0409,9.0,12,0,4.325369,52.105388,140,15
HLT0407,9.0,13,0,4.323516,52.105956,141,18
HLT0405,9.0,14,0,4.319108,52.104729,138,18
HLT0410,9.0,15,0,4.318902,52.105159,142,9
HLT0402,9.0,16,0,4.31501964749388,52.1012343283809,143,18
HLT0401,9.0,17,0,4.31490865154569,52.1010789016025,144,15
HLT0414,9.0,18,0,4.315853,52.098641,151,15
HLT0413,9.0,19,0,4.315566,52.098441,146,9
HLT0412,9.0,20,0,4.31308300599461,52.0973925733531,150,9
HLT0411,9.0,21,0,4.31159347098113,52.0966546050319,147,15
HLT0418,9.0,22,0,4.31305610533233,52.0945623928717,148,15
HLT0417,9.0,23,0,4.3128388294109,52.0952006965006,149,18
