ID	ID_MAXIMO	latitude	longitude	Night_shift	Type_halte	Cleaning_time_20	Cleaning_time_code	Cleaning_time_abri
93	HLT2508	52.09652487987	4.36071909051003	0	Bushalte	20	15	20
94	HLS0157	52.081448	4.332999	0	Bushalte	20	20	20
95	HLS0316	52.079507	4.335131	0	Bushalte	20	20	20
96	HLS0147	52.077642	4.337596	0	Bushalte	20	20	20
97	HLS0148	52.077599	4.337889	0	Bushalte	20	20	13
98	HLS0315	52.080542	4.334246	0	Bushalte	20	20	13
99	HLT2649	52.0843828889647	4.33931637114307	0	Bushalte	20	15	20
100	HLT2637	52.0865157166829	4.33684134900341	0	Bushalte	20	15	20
101	HLT3844	52.0582038775979	4.3120325933739	0	Bushalte	20	15	13
102	HLT3843	52.0580301651399	4.31227534198531	0	Bushalte	20	15	20
103	HLT3858	52.0647737440185	4.31476386024955	0	Bushalte	20	15	20
104	HLT3857	52.0650114218305	4.31534220608393	0	Bushalte	20	15	20
105	HLT3860	52.0669240153178	4.31860823810236	0	Bushalte	20	15	13
106	HLT3859	52.0667390942887	4.31862063254475	0	Bushalte	20	15	20
107	HLT3847	52.068526848567	4.3226077914308	0	Bushalte	50	42	65
108	HLT2874	52.0813951847169	4.30896562829692	0	Bushalte	20	15	20
109	HLT2873	52.0813797306583	4.30955207869815	0	Bushalte	20	15	20
110	HLT2857	52.0762761181492	4.3181708455341	0	Bushalte	20	15	20
111	HLT2858	52.077117	4.320234	0	Bushalte	20	20	13
112	HLT3820	52.0580731595153	4.32176434430744	0	Bushalte	20	18	20
113	HLT3833	52.0557150313279	4.32339259232234	0	Bushalte	20	15	13
114	HLT3834	52.0557310434146	4.32384185127498	0	Bushalte	20	15	20
115	HLT3819	52.0587886410883	4.32137820675742	0	Bushalte	20	18	20
116	HLT3807	52.0611665389729	4.31843417672131	0	Bushalte	20	15	20
117	HLT3808	52.0610015648897	4.31835416602612	0	Bushalte	20	15	20
118	HLT2633	52.0844643197803	4.33298454463528	0	Bushalte	20	15	20
119	HLT2634	52.0844686259132	4.33328306724958	0	Bushalte	20	15	20
120	HLT2631	52.0830736144388	4.33006987364627	0	Bushalte	20	15	20
121	HLT2632	52.0834327104532	4.33092356249137	0	Bushalte	20	15	20
122	HLT2638	52.0859212517317	4.33736218862579	0	Bushalte	20	15	20
123	HLT2650	52.0842494031283	4.33930181540872	0	Bushalte	20	15	20
124	HLS0158	52.081878	4.331895	0	Bushalte	20	20	20
125	HLT0447	52.091529	4.315542	0	Bushalte	20	20	13
126	HLT0448	52.091761	4.315419	0	Bushalte	20	20	13
127	HLT0436	52.088805	4.317533	0	Bushalte	20	20	20
128	HLT0437	52.089741	4.319583	0	Bushalte	20	20	13
129	HLT0427	52.0921868243557	4.3195205259337	0	Bushalte	20	15	13
130	HLT0426	52.0924967656612	4.31957823867838	0	Bushalte	20	15	20
131	HLT0428	52.093601	4.323095	0	Bushalte	20	20	13
132	HLT0429	52.094068	4.324033	0	Bushalte	20	20	20
133	HLT0440	52.094367	4.330286	0	Bushalte	20	20	13
134	HLT0431	52.096265	4.326403	0	Bushalte	20	20	20
135	HLT0416	52.1001790236594	4.32193029175675	0	Bushalte	20	15	20
136	HLT0404	52.1035931062374	4.31796413410107	0	Bushalte	20	15	20
137	HLT0406	52.104215	4.317923	0	Bushalte	20	20	13
138	HLT0405	52.104729	4.319108	0	Bushalte	20	20	20
139	HLT0408	52.105359	4.323166	0	Bushalte	20	20	13
140	HLT0409	52.105388	4.325369	0	Bushalte	20	20	20
141	HLT0407	52.105956	4.323516	0	Bushalte	20	20	20
142	HLT0410	52.105159	4.318902	0	Bushalte	20	20	13
143	HLT0402	52.1012343283809	4.31501964749388	0	Bushalte	20	15	20
144	HLT0401	52.1010789016025	4.31490865154569	0	Bushalte	20	15	20
145	HLT0403	52.1031156242217	4.31814917046317	0	Bushalte	20	15	20
146	HLT0413	52.098441	4.315566	0	Bushalte	20	20	13
147	HLT0411	52.0966546050319	4.31159347098113	0	Bushalte	20	15	20
148	HLT0418	52.0945623928717	4.31305610533233	0	Bushalte	20	15	20
149	HLT0417	52.0952006965006	4.3128388294109	0	Bushalte	20	15	20
150	HLT0412	52.0973925733531	4.31308300599461	0	Bushalte	20	15	13
151	HLT0414	52.098641	4.315853	0	Bushalte	20	20	20
152	HLT0415	52.1001717034707	4.32156599743908	0	Bushalte	20	15	20
153	HLT0430	52.096022	4.326409	0	Bushalte	20	20	20
154	HLS0363	52.09216	4.329667	0	Bushalte	20	20	13
155	HLT0603	52.0973919192484	4.29987278824698	0	Bushalte	20	15	20
156	HLT0604	52.0974605468231	4.3000957481723	0	Bushalte	20	15	20
157	HLT0605	52.0946637597382	4.30115079503412	0	Bushalte	20	15	13
158	HLT0503	52.0939709414044	4.30207935405249	0	Bushalte	20	15	20
159	HLT0504	52.0933089689487	4.30265277689089	0	Bushalte	20	15	20
160	HLT2401	52.0848837193078	4.31645272209252	0	Bushalte	20	15	13
161	HLT2403	52.0848754088929	4.31683348723635	0	Bushalte	20	15	20
162	HLT0226	52.1090120342029	4.29813714441596	0	Bushalte	20	15	13
163	HLT0225	52.1101260213315	4.29679152688367	0	Bushalte	20	15	20
164	HLT0310	52.108784020229	4.30846406104529	0	Bushalte	20	15	20
