ID_MAXIMO,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,abri,n_in_run,Type_halte
HLT3339,24.0,14.0,Erasmusweg 2000,NL:Q:32003339,0,4.26120043377742,52.0309099898917,42,1.0,1,Bushalte
HLT3341,24.0,16.0,Erasmusweg/Beresteinlaan,NL:Q:32003341,0,4.26740594541066,52.0337477588673,43,1.0,1,Bushalte
HLT3342,24.0,17.0,Erasmusweg 441,NL:Q:32003342,0,4.27168317229995,52.0359325997125,44,1.0,1,Bushalte
HLT3612,10.0,14.0,Loevesteinlaan 895,NL:Q:32003612,0,4.29001010596668,52.0444938985215,45,1.0,1,Bushalte
HLT3613,10.0,15.0,Loevesteinlaan 588,NL:Q:32003613,0,4.29118082368249,52.0440387053657,46,1.0,1,Bushalte
HLS0142,10.0,16.0,Midachtenweg/Guntersteinweg,NL:Q:42012701,0,4.30322,52.047793,47,1.0,1,Bushalte
HLS0143,24.0,20.0,Midachtenweg/Guntersteinweg,NL:Q:42012702,0,4.303809,52.046972,48,1.0,1,Bushalte
HLT4015,24.0,18.0,Leyweg/Carry van Bruggenhof,NL:Q:32004015,0,4.285574,52.040322,49,1.0,1,Bushalte
HLT4016,24.0,19.0,Leyweg/Carry van Bruggenhof,NL:Q:32004016,0,4.28561,52.040044,50,1.0,1,Bushalte
HLT3912,13.0,1.0,Brinckhorstlaan 170,NL:Q:32003912,0,4.336626,52.069903,51,0.0,1,Bushalte
HLT3903,9.0,1.0,Brinckhorstlaan 46,NL:Q:32003903,0,4.33330205409404,52.0729117774667,52,0.0,1,Bushalte
HLT3904,25.0,22.0,Brinckhorstlaan,NL:Q:32003904,0,4.33434179462147,52.0716611773701,53,0.0,1,Bushalte
HLT3906,13.0,2.0,Mecuriusweg/Binckhorstlaan,NL:Q:32003906,0,4.3364707744107,52.0701556590412,54,1.0,1,Bushalte
HLT3905,8.0,18.0,Brinckhorstlaan 125,NL:Q:32003905,0,4.33705246394757,52.0689586013162,55,1.0,1,Bushalte
HLS0307,18.0,23.0,Heulweg 45 Westland/Middendelfland,NL:Q:42058401,0,4.269523,52.022319,56,0.0,1,Bushalte
HLS0308,18.0,24.0,Heulweg 54 Westland/Middendelfland,NL:Q:42058402,0,4.269222,52.022127,57,0.0,1,Bushalte
HLS0309,47.0,19.0,Herenstraat 2 Westland/Middendelfland,NL:Q:42058501,0,4.274822,52.02369,58,0.0,1,Bushalte
HLS0304,18.0,26.0,Herenstraat 85 Westland/Middendelfland,NL:Q:42058202,0,4.281466,52.02547,59,0.0,1,Bushalte
HLS0305,18.0,25.0,Herenstraat 85 Westland/Middendelfland,NL:Q:42058201,0,4.280727,52.025301,60,0.0,1,Bushalte
HLS0235,4.0,8.0,Bezuidenhoutseweg 480,NL:Q:42022701,0,4.36135,52.100359,61,1.0,1,Bushalte
HLS0236,4.0,9.0,Bezuidenhoutseweg 480,NL:Q:42022702,0,4.360956,52.100355,62,1.0,1,Bushalte
HLS0152,4.0,18.0,Bezuidenhoutseweg 429,NL:Q:42013302,0,4.358048,52.098631,63,1.0,1,Bushalte
HLS0205,4.0,19.0,Bezuidenhoutseweg/Reigersbergenweg,NL:Q:42018502,0,4.349589,52.093316,64,1.0,1,Bushalte
HLS0129,21.0,9.0,Bezuidenhoutseweg 335,NL:Q:42010902,0,4.339957,52.090202,65,1.0,1,Bushalte
HLS0183,21.0,6.0,Bezuidenhoutseweg 150,NL:Q:42017002,0,4.333882,52.087325,66,0.0,1,Bushalte
HLS0125,21.0,4.0,Bezuidenhoutseweg 30,NL:Q:42009902,0,4.328673,52.084834,67,0.0,1,Bushalte
HLS0362,5.0,2.0,Benoordenhoutseweg/Willem Witsenplein,NL:Q:54000670,0,4.331293,52.092507,68,1.0,1,Bushalte
HLS0366,5.0,3.0,Benoordenhoutseweg,NL:Q:54142010,0,4.335599,52.094361,69,0.0,1,Bushalte
HLS0367,5.0,4.0,Benoordenhoutseweg/Leidsestraatweg,NL:Q:54142030,0,4.347509,52.09932,70,0.0,1,Bushalte
HLS0365,5.0,5.0,Benoordenhoutseweg/Viaduct N14,NL:Q:54140330,0,4.358149,52.105005,71,0.0,1,Bushalte
HLS0368,5.0,6.0,Benoordenhoutseweg/Waaldorperlaan,NL:Q:54142040,0,4.346273,52.099103,72,1.0,1,Bushalte
HLS0364,5.0,7.0,Benoordenhoutseweg 254,NL:Q:54000730,0,4.334929,52.094274,73,0.0,1,Bushalte
HLS0363,25.0,1.0,Benoordenhoutseweg 227,NL:Q:54000680,0,4.329667,52.09216,74,0.0,1,Bushalte
HLS0124,21.0,5.0,Bezuidenhoutseweg 30,NL:Q:42009901,0,4.329035,52.084945,75,0.0,1,Bushalte
HLS0182,21.0,8.0,Bezuidenhoutseweg 225,NL:Q:42017001,0,4.335973,52.088369,76,0.0,1,Bushalte
