,cluster,cleaning_time,driving_time,total_time,feas
0,47.0,220,25.99,245.99,1
1,27.0,570,31.721666666666668,601.7216666666667,0
2,40.0,160,18.391666666666666,178.39166666666665,1
3,46.0,655,32.97666666666667,687.9766666666667,0
4,43.0,490,43.28499999999999,533.285,0
5,44.0,425,47.824999999999996,472.825,0
6,31.0,410,34.961666666666666,444.96166666666664,0
7,30.0,506,30.395000000000003,536.395,0
8,33.0,330,30.56,360.56,1
9,28.0,625,35.78999999999999,660.79,0
10,34.0,333,27.09166666666666,360.09166666666664,1
11,50.0,215,25.623333333333335,240.62333333333333,1
12,29.0,290,30.311666666666667,320.31166666666667,1
13,39.0,491,47.27333333333334,538.2733333333333,0
14,48.0,665,51.448333333333345,716.4483333333334,0
15,36.0,525,50.650000000000006,575.65,0
16,35.0,610,41.89833333333333,651.8983333333333,0
17,45.0,550,41.16666666666666,591.1666666666666,0
18,32.0,590,41.705,631.705,0
19,42.0,435,51.773333333333326,486.7733333333333,0
20,37.0,300,53.59833333333333,353.59833333333336,1
21,26.0,270,53.080000000000005,323.08,1
22,49.0,380,47.794999999999995,427.795,0
23,41.0,160,34.61000000000001,194.61,1
24,38.0,260,46.41833333333333,306.41833333333335,1
25,25.0,273,20.85666666666667,293.8566666666667,1
26,5.0,268,30.66666666666667,298.6666666666667,1
27,1.0,240,27.8,267.8,1
28,6.0,430,47.739999999999995,477.74,0
29,8.0,359,33.11,392.11,1
30,22.0,165,24.301666666666666,189.30166666666668,1
31,7.0,353,25.573333333333334,378.5733333333333,1
32,11.0,462,27.226666666666667,489.2266666666667,0
33,19.0,228,19.29,247.29,1
34,12.0,254,15.173333333333336,269.17333333333335,1
35,4.0,499,39.583333333333336,538.5833333333334,0
36,3.0,561,28.648333333333333,589.6483333333333,0
37,17.0,378,30.246666666666666,408.24666666666667,1
38,13.0,162,32.90166666666667,194.90166666666667,1
39,24.0,274,27.526666666666664,301.52666666666664,1
40,15.0,237,36.71500000000001,273.71500000000003,1
41,21.0,451,43.05833333333333,494.05833333333334,0
42,23.0,325,34.54833333333333,359.54833333333335,1
43,20.0,460,34.95333333333335,494.9533333333334,0
44,9.0,422,26.886666666666663,448.88666666666666,0
45,10.0,313,31.55,344.55,1
46,18.0,368,25.70333333333333,393.7033333333333,1
47,14.0,140,33.306666666666665,173.30666666666667,1
48,2.0,186,31.258333333333333,217.25833333333333,1
49,16.0,186,27.756666666666668,213.75666666666666,1
