,route_ID,cleaning_time,original_time,original_feas,reordered_time,reordered_feas,improvement,total_time_original,total_time_reordered
0,REI-D101,500,48.156666666666666,0,39.67333333333333,0,8.483333333333334,548.1566666666666,539.6733333333333
1,REI-D102,500,50.54333333333334,0,41.38333333333333,0,9.160000000000004,550.5433333333333,541.3833333333333
2,REI-D103,580,73.42833333333334,0,62.62666666666668,0,10.801666666666662,653.4283333333333,642.6266666666667
3,REI-D104,420,30.25333333333333,0,20.701666666666664,0,9.551666666666666,450.25333333333333,440.70166666666665
4,REI-D105,370,32.83333333333333,1,31.419999999999998,1,1.4133333333333304,402.8333333333333,401.42
5,REI-D106,500,33.733333333333334,0,29.988333333333337,0,3.7449999999999974,533.7333333333333,529.9883333333333
6,REI-D107,520,46.17833333333333,0,30.928333333333335,0,15.249999999999993,566.1783333333333,550.9283333333333
7,REI-D108,450,48.00999999999999,0,44.17333333333333,0,3.836666666666659,498.01,494.17333333333335
8,REI-D109,420,41.419999999999995,0,39.55,0,1.8699999999999974,461.42,459.55
9,REI-D110,340,43.325,1,35.745,1,7.580000000000005,383.325,375.745
10,REI-D111,400,43.17166666666667,0,36.62166666666666,0,6.550000000000004,443.1716666666667,436.62166666666667
11,REI-D112,500,57.365,0,46.39333333333334,0,10.971666666666664,557.365,546.3933333333333
12,REI-D113,480,52.74666666666666,0,45.82666666666667,0,6.919999999999995,532.7466666666667,525.8266666666667
13,REI-D114,400,54.88166666666666,0,42.16666666666666,0,12.715000000000003,454.88166666666666,442.16666666666663
14,REI-D115,470,45.324999999999996,0,36.455000000000005,0,8.86999999999999,515.325,506.455
15,REI-D116,550,36.37833333333332,0,29.793333333333333,0,6.58499999999999,586.3783333333333,579.7933333333333
16,REI-D201,610,47.381666666666675,0,38.125,0,9.256666666666675,657.3816666666667,648.125
17,REI-D202,550,47.33500000000001,0,44.358333333333334,0,2.9766666666666737,597.335,594.3583333333333
18,REI-D203,540,46.959999999999994,0,42.54833333333333,0,4.411666666666662,586.96,582.5483333333333
19,REI-D204,400,49.41,0,46.54,0,2.8699999999999974,449.40999999999997,446.54
20,REI-D205,400,47.78,0,42.105000000000004,0,5.674999999999997,447.78,442.105
21,REI-D301,490,65.64500000000001,0,60.67833333333331,0,4.966666666666697,555.645,550.6783333333333
22,REI-D302,450,56.983333333333334,0,51.11833333333333,0,5.865000000000002,506.98333333333335,501.11833333333334
23,REI-D303,440,63.81666666666667,0,59.82000000000001,0,3.9966666666666626,503.81666666666666,499.82
24,REI-D304,280,78.91166666666666,1,50.33166666666667,1,28.57999999999999,358.91166666666663,330.33166666666665
25,REI-N101,420,34.620000000000005,0,28.780000000000005,0,5.84,454.62,448.78000000000003
26,REI-N102,440,64.74333333333333,0,57.37666666666666,0,7.366666666666667,504.74333333333334,497.37666666666667
27,REI-N103,420,40.84666666666667,0,36.65333333333333,0,4.193333333333342,460.8466666666667,456.6533333333333
28,REI-N104,480,39.63333333333334,0,29.61333333333333,0,10.02000000000001,519.6333333333333,509.61333333333334
29,REI-N105,460,53.21666666666666,0,42.76499999999999,0,10.451666666666668,513.2166666666667,502.765
30,REI-N106,400,50.99333333333334,0,35.498333333333335,0,15.495000000000005,450.99333333333334,435.49833333333333
31,REI-N107,340,21.35666666666667,1,16.1,1,5.256666666666668,361.3566666666667,356.1
32,REI-N108,410,61.120000000000005,0,45.88833333333333,0,15.231666666666676,471.12,455.8883333333333
33,REI-N109,380,41.00333333333333,0,28.27666666666666,1,12.72666666666667,421.00333333333333,408.27666666666664
34,REI-N110,420,43.045,0,37.23499999999999,0,5.810000000000009,463.045,457.235
35,REI-N111,390,50.208333333333336,0,41.84166666666667,0,8.366666666666667,440.2083333333333,431.8416666666667
36,REI-N112,360,45.830000000000005,1,36.18666666666666,1,9.643333333333345,405.83,396.18666666666667
37,REI-N113,420,49.401666666666664,0,38.79166666666667,0,10.609999999999992,469.40166666666664,458.7916666666667
38,REI-N114,320,32.63,1,26.09,1,6.540000000000003,352.63,346.09
39,REI-N115,410,43.82833333333333,0,32.190000000000005,0,11.638333333333328,453.8283333333333,442.19
40,REI-N116,410,41.169999999999995,0,29.548333333333332,0,11.621666666666663,451.17,439.54833333333335
41,REI-N117,410,45.45666666666667,0,33.163333333333334,0,12.293333333333337,455.45666666666665,443.16333333333336
42,REI-N118,390,31.281666666666663,0,26.518333333333334,1,4.763333333333328,421.28166666666664,416.5183333333333
43,REI-N119,280,32.00333333333333,1,27.033333333333335,1,4.969999999999995,312.00333333333333,307.03333333333336
44,REI-N120,340,29.478333333333335,1,30.3,1,-0.8216666666666654,369.47833333333335,370.3
45,REI-N121,240,30.27166666666667,1,22.016666666666666,1,8.255000000000003,270.27166666666665,262.01666666666665
46,REI-N122,480,41.823333333333345,0,35.971666666666664,0,5.851666666666681,521.8233333333334,515.9716666666667
47,REI-N123,400,32.88333333333333,0,30.791666666666668,0,2.091666666666665,432.8833333333333,430.7916666666667
48,REI-N201,350,42.16333333333333,1,38.175,1,3.9883333333333297,392.1633333333333,388.175
49,REI-N202,250,37.263333333333335,1,33.93500000000001,1,3.328333333333326,287.2633333333333,283.935
