ID_MAXIMO,Route,Order,Night_shift,longitude,latitude,ID,Service_time
HLT3814,35,21,1,4.32972266941567,52.0656724034642,707,17.0
HLT2820,36,1,1,4.29920311596587,52.0732866648799,883,32.0
HLT2904,36,2,1,4.29336264519704,52.0731220821988,905,32.0
HLT2903,36,3,1,4.29233610024431,52.0729876009843,906,32.0
HLT2902,36,4,1,4.29163895337862,52.0730381923441,903,16.0
HLT3003,36,5,1,4.28528489466203,52.0709703839137,901,32.0
HLT3001,36,6,1,4.28463659200617,52.0710569018683,824,17.0
HLT3116,36,7,1,4.28503560811391,52.0667612947791,818,17.0
HLT3129,36,8,1,4.28208906021847,52.0669548087595,816,32.0
HLT3005,36,9,1,4.2897529881172,52.0686974850528,820,16.0
HLT3007,36,10,1,4.28959400843595,52.0684595984931,822,17.0
HLT2908,36,11,1,4.29589548751943,52.0680768036764,879,32.0
HLT2931,36,12,1,4.29785211885518,52.0665479872153,875,32.0
HLT2932,36,13,1,4.29803447053404,52.0661873862651,874,32.0
HLT2932,36,14,1,4.29803447053404,52.0661873862651,876,17.0
HLT3840,36,15,1,4.32183853742751,52.0659206000349,691,32.0
HLT2871,37,1,1,4.32325560403187,52.0791908978823,912,30.0
HLT0306,37,2,1,4.30138202257336,52.1031613720894,936,9.0
HLT0228,37,3,1,4.30122502827883,52.1067879367038,938,15.0
HLT0227,37,4,1,4.30066410479831,52.1072844019843,937,15.0
HLT0226,37,5,1,4.29813714441596,52.1090120342029,162,9.0
HLT0225,37,6,1,4.29679152688367,52.1101260213315,163,15.0
HLT0207,37,7,1,4.289232,52.115844,953,16.0
HLT0212,37,8,1,4.289282,52.116761,948,16.0
HLT0213,37,9,1,4.28931,52.116806,947,16.0
HLT0214,37,10,1,4.289382,52.116843,949,16.0
HLT0215,37,11,1,4.28941,52.116897,950,16.0
HLT0216,37,12,1,4.289453,52.116942,951,16.0
HLT0203,37,13,1,4.288501,52.116663,952,17.0
HLT0211,37,14,1,4.288233,52.11667,954,17.0
HLT0218,37,15,1,4.28741505902821,52.1121333071707,171,15.0
HLT0217,37,16,1,4.28726571567318,52.1121945199754,172,15.0
HLT0229,37,17,1,4.284011,52.112047,173,15.0
HLT0202,37,18,1,4.28362,52.113077,945,17.0
HLT0204,37,19,1,4.2838323827641,52.113566970972,946,17.0
HLT0221,37,20,1,4.29012867864292,52.1105794052888,606,15.0
HLT0222,37,21,1,4.29093739612432,52.1106503366313,168,15.0
HLT0223,37,22,1,4.29589280932128,52.1112833139141,167,15.0
HLT0224,37,23,1,4.29632906024534,52.111317114036,166,15.0
HLT0305,37,24,1,4.30097423457466,52.1027728036548,935,9.0
HLT0311,37,25,1,4.30126124557253,52.1003604130588,933,15.0
HLT2872,38,1,1,4.32403155918895,52.0793821712023,911,62.0
HLT2857,38,2,1,4.3181708455341,52.0762761181492,110,15.0
HLT2851,38,3,1,4.31942599757744,52.0751942881006,872,30.0
HLT2858,38,4,1,4.320234,52.077117,111,9.0
HLT2863,38,5,1,4.31599193216493,52.0779682309886,930,16.0
HLT2833,38,6,1,4.31391700558511,52.0783222818193,871,30.0
HLT2832,38,7,1,4.31451922044626,52.0778168554711,870,28.0
HLT2862,38,8,1,4.31677521758497,52.0780949005159,929,17.0
HLS0201,38,9,1,4.326885,52.083326,909,9.0
HLS0200,38,10,1,4.328519,52.082702,910,9.0
HLS0360,38,11,1,4.321719,52.088295,630,9.0
HLT0439,38,12,1,4.330236,52.092803,631,15.0
HLT0440,38,13,1,4.330286,52.094367,133,9.0
HLT0438,38,14,1,4.329167,52.093584,632,15.0
HLT2647,38,15,1,4.33814844044995,52.0838333462168,653,32.0
HLT2648,38,16,1,4.33918587811744,52.0839475202033,654,32.0
HLT2655,38,17,1,4.34239,52.081648,655,17.0
HLT2658,38,18,1,4.34522409173583,52.0791429870559,659,28.0
HLT3903,39,1,1,4.33330205409404,52.0729117774667,52,9.0
HLT2602,39,2,1,4.32340118909617,52.080549461827,709,32.0
HLT2601,39,3,1,4.32307144417475,52.0809833848939,708,17.0
HLT0312,39,4,1,4.30148787975103,52.1007369246396,934,15.0
HLT0220,39,5,1,4.288068,52.109747,169,9.0
HLT0706,39,6,1,4.28074796560509,52.1111752787205,942,17.0
HLT0749,39,7,1,4.28052594374643,52.1110008280486,943,17.0
HLT0701,39,8,1,4.270413,52.106426,605,17.0
HLT0710,39,9,1,4.270935,52.104211,602,17.0
HLT0711,39,10,1,4.27093,52.104436,603,16.0
HLT0736,39,11,1,4.271254,52.106075,604,16.0
HLT0702,39,12,1,4.27720791645998,52.107691316095,940,16.0
HLT0703,39,13,1,4.2771075162535,52.1079951946561,939,17.0
HLT0750,39,14,1,4.28083599550796,52.1110936227691,944,17.0
HLT0707,39,15,1,4.28101729092274,52.111205161409,941,17.0
HLT0205,39,16,1,4.28368444242148,52.1120294402802,174,15.0
HLT0708,39,17,1,4.28437524751412,52.1102425459662,611,32.0
HLT0219,39,18,1,4.287317,52.109992,170,15.0
HLT0728,39,19,1,4.28898094852457,52.1075265829005,612,17.0
HLT0729,39,20,1,4.289415872569,52.1073999838487,613,17.0
HLT0303,39,21,1,4.297212,52.101751,614,17.0
HLT0304,39,22,1,4.297435,52.101565,615,16.0
HLT3420,40,1,1,4.27898245551016,52.0467214789497,741,15.0
HLT3419,40,2,1,4.27874724633745,52.0466957678033,740,15.0
HLT3334,40,3,1,4.26740300334122,52.0399888500646,750,17.0
HLT3303,40,4,1,4.26848260954303,52.0385454073903,668,9.0
HLT3302,40,5,1,4.26812718957008,52.0389596616921,669,15.0
