totalLength,totalCleaning
6.133509664507012,4.133333333333334
6.65943122788608,4.666666666666667
6.5797048153182764,4.7
6.645241009646815,4.716666666666667
6.043262452961939,4.283333333333333
6.2713796132733455,4.55
6.465372971683435,4.616666666666666
6.372640447191019,4.616666666666666
6.208369625073923,4.65
6.275588142115102,4.65
6.396325455109449,4.7
6.520058685980981,4.85
6.315587461429325,4.6
6.528886835102878,4.75
6.59117003573808,4.716666666666667
6.430165103918079,4.55
6.0744036394772705,4.283333333333333
7.111848074122261,4.733333333333333
6.253278815722868,4.5
6.184514609739598,4.433333333333334
6.628721202350174,4.45
6.353163577423959,4.466666666666667
6.48220624956114,4.566666666666666
7.006847422886009,4.583333333333333
6.385935617368125,4.9
6.912100570698985,5.416666666666667
7.127181368288614,5.7
7.035414963621486,5.366666666666666
7.037331072938206,5.533333333333333
6.761765000029602,5.416666666666667
7.5792937464236445,6.016666666666667
6.91304092979538,5.45
6.863622576929543,5.45
7.116590376731296,5.483333333333333
7.064793412004265,5.433333333333334
6.911890075083948,5.383333333333334
6.99233618781666,5.416666666666667
7.001276331136736,5.483333333333333
7.071410274168075,5.5
7.147480807514669,5.5
7.393291694378083,5.75
7.431627198577567,5.75
7.028582606618557,5.6
6.88524853184037,5.516666666666667
7.196630531767323,5.633333333333334
6.868350301899834,5.483333333333333
6.966319346814291,5.283333333333333
7.164662800156511,5.716666666666667
7.293821446722936,5.466666666666667
7.127677011990476,5.65
