totalLength,totalCleaning
6.315044217146584,4.35
6.820491345034638,4.566666666666666
6.3052142975953585,4.3
6.252398763692781,4.45
6.6516286921943015,4.65
6.685013035689841,4.6
6.3298063857165765,4.533333333333333
6.392052303941516,4.516666666666667
6.270753146142663,4.5
6.297664316470133,4.416666666666667
6.695236422186053,4.666666666666667
6.4165828434760765,4.566666666666666
6.490270847763758,4.5
6.6171979302421535,4.75
6.302651252037517,4.6
6.280039163617327,4.5
6.364631244689728,4.583333333333333
7.914059690299052,5.45
6.341779430859395,4.416666666666667
6.582111487300811,4.616666666666666
6.478078923881393,4.35
6.518112011955314,4.616666666666666
6.706460963735265,4.816666666666666
7.289452479543134,4.9
6.1508403266713865,4.45
6.44304569002649,4.666666666666667
6.676200890583823,5.0
6.736088782255221,4.616666666666666
6.709366982378191,5.166666666666667
6.901871745047143,4.766666666666667
7.192208818525049,5.816666666666666
7.810071730751907,6.3
7.850416374275389,6.316666666666666
1.7045609104875936,0.5666666666666667
7.847254579924958,6.033333333333333
7.9987217733194305,6.333333333333333
7.980476252706598,6.266666666666667
7.637125723387325,6.333333333333333
7.853258412711017,6.25
5.123492102898296,3.816666666666667
7.592301457202089,6.133333333333334
7.726070151528355,6.25
7.743908197216154,6.15
7.8489062975967725,6.183333333333334
6.979445306139346,5.5
7.829879916933631,6.3
7.6430525658417485,6.166666666666667
7.718421209922568,6.316666666666666
6.8696403624910864,5.216666666666667
7.41175089127775,5.933333333333334
