totalLength,totalCleaning
1.8050322876419291,0.5
1.353445307881658,0.25
1.221747722230035,0.15
1.2993202164127255,0.25
5.965761300789144,4.35
1.2540681975657146,0.15
7.389694193525569,5.666666666666667
1.3542861071727381,0.25
7.948556441459303,6.25
7.475152668389242,5.766666666666667
7.9049516899604235,6.1
7.984721962650195,6.05
7.991831266621139,6.0
7.975667850111197,5.983333333333333
1.3168427624359027,0.25
7.491808038640173,5.65
5.417972178529224,3.8333333333333335
7.197844315306399,5.016666666666667
7.8716097498827855,5.983333333333333
6.667326700529744,4.7
7.797191609067237,6.3
7.858348946201616,5.483333333333333
7.71960070395214,5.35
5.969609800194991,4.2
1.1993202164127257,0.15
7.823020729664123,6.3
7.921661245186568,6.4
7.881455154428459,6.366666666666666
7.919495043121413,6.266666666666667
7.761927862529647,6.416666666666667
7.856553556791007,6.233333333333333
7.972028199279242,6.55
7.932214528699505,6.266666666666667
7.9553537639779766,6.316666666666666
7.741148314022756,6.233333333333333
7.938627963658223,6.25
7.913318715685818,6.383333333333334
7.95751616070215,6.316666666666666
7.947228744621389,6.35
7.926348877109897,6.583333333333333
7.718538922495657,6.366666666666666
7.890581165287543,6.583333333333333
7.890938810168831,6.383333333333334
7.896947825502546,6.3
7.8971802846268755,6.416666666666667
7.981339964237882,6.516666666666667
7.994244693141387,6.266666666666667
7.926576483019656,6.366666666666666
7.7469016782952105,5.983333333333333
7.661288379738363,6.016666666666667
