totalLength,totalCleaning
1.2159868830793923,0.16666666666666666
7.9796822607323294,5.9
7.921600052023937,6.016666666666667
7.944324761917335,6.1
4.16071032683794,2.716666666666667
6.821669911347877,5.3
1.2835094291025693,0.21666666666666667
1.3201119745483247,0.21666666666666667
7.870895487607508,6.066666666666666
7.020221308279887,5.35
7.864161804804015,5.666666666666667
1.2384143888967016,0.16666666666666666
7.238992633631519,5.55
7.89419303743722,6.1
7.838197378273242,5.75
7.9252958182106035,6.0
7.3461652157334045,5.566666666666666
7.083705127751563,5.116666666666666
7.337902219395102,5.416666666666667
7.9532221227534174,5.85
6.914026183419137,5.083333333333333
7.890357730136549,5.483333333333333
7.8018348701671325,5.233333333333333
7.396499195493806,5.416666666666667
1.2659868830793923,0.21666666666666667
6.498218945868083,5.05
5.1125617285414355,3.6666666666666665
7.956352988156192,6.366666666666666
7.2519068357916,5.6
2.2955317314614776,1.1333333333333333
7.856193826576234,6.1
1.937433293615228,0.8
6.795320614352449,5.35
7.9672980699273195,6.416666666666667
7.782135593066381,6.116666666666666
7.89608596386059,6.416666666666667
1.6444764806639707,0.5166666666666667
7.972700298415564,6.3
7.969984468154965,6.5
7.993981027637759,6.416666666666667
7.765038598820723,6.25
6.826542705880778,5.466666666666667
7.675338170859431,6.05
7.743538643310452,6.233333333333333
7.827400425246494,6.416666666666667
1.6712275771542602,0.5333333333333333
7.630623508634314,6.066666666666666
7.773492634474403,6.416666666666667
7.913950075885585,6.15
7.960877856982901,6.05
