totalLength,totalCleaning
6.8309444444444445,5.483333333333333
7.919027777777777,6.333333333333333
7.893833333333333,6.116666666666666
7.505833333333333,6.1
7.5305,5.933333333333334
7.697638888888889,6.05
7.937805555555555,6.3
7.605166666666666,6.133333333333334
7.989777777777777,6.666666666666667
7.824166666666667,6.3
7.298027777777778,5.75
7.776805555555556,6.466666666666667
7.674222222222222,6.283333333333333
7.893888888888889,6.516666666666667
7.622472222222223,6.133333333333334
7.896694444444445,6.366666666666666
7.9845,6.416666666666667
7.615083333333333,6.066666666666666
7.785694444444444,6.25
7.240833333333333,5.583333333333333
7.728416666666666,6.033333333333333
7.953416666666667,6.566666666666666
7.967638888888889,6.466666666666667
7.907055555555556,6.466666666666667
4.989111111111112,3.7333333333333334
7.926111111111111,6.633333333333334
7.869944444444444,6.55
7.549305555555555,6.0
7.12463888888889,5.766666666666667
7.886833333333333,6.4
7.794722222222222,6.2
7.813444444444444,6.3
7.967194444444444,6.283333333333333
7.224444444444444,5.683333333333334
7.948666666666667,6.5
7.902111111111111,6.25
7.5313888888888885,5.85
7.532305555555555,5.866666666666666
7.866694444444445,6.033333333333333
7.9976111111111114,6.3
7.9526111111111115,6.166666666666667
7.989166666666667,6.5
7.8822777777777775,6.316666666666666
7.927638888888889,6.283333333333333
7.72561111111111,6.033333333333333
7.910944444444444,6.083333333333333
7.819444444444445,6.183333333333334
7.785916666666666,5.85
7.932194444444445,5.966666666666667
7.954416666666666,5.816666666666666
