totalLength,totalCleaning
7.536470592337736,5.55
8.097625402888193,5.95
8.202508577303691,5.55
6.215085974179634,4.55
6.2896783683106525,4.5
7.127370435055597,5.35
7.943659718404981,5.9
7.317777579457002,5.216666666666667
6.341399618908422,4.35
5.905358027289199,3.85
6.435233615679386,4.4
8.16873211516271,5.833333333333333
7.72403210204303,5.5
6.586297711812209,4.3
7.8148531604235405,5.75
7.839801945987826,5.966666666666667
6.65793781013143,4.7
6.189884180238007,4.166666666666667
6.081171257892499,4.133333333333334
5.160820449096278,3.0833333333333335
5.127617788407742,3.1666666666666665
6.436968941243772,4.0
5.685898814897772,3.4166666666666665
5.657085872053768,3.3
4.7972828827691165,2.183333333333333
7.583926578694119,5.966666666666667
8.249923724563283,6.116666666666666
7.643432243374482,5.933333333333334
7.944442488723395,6.25
8.205568367644585,6.25
7.316076309855435,5.416666666666667
6.729325922513758,5.35
7.87286042959939,5.8
7.063134025942304,5.333333333333333
8.007149103361852,6.233333333333333
8.112586236761533,6.216666666666667
7.722361672257471,5.9
8.22067274643275,6.333333333333333
6.235388614209095,4.65
7.735870618461109,5.966666666666667
7.620302316775334,5.9
8.099848129940614,6.3
7.387956323754419,5.833333333333333
6.389763017153414,4.816666666666666
7.086215090087581,5.566666666666666
4.700676470258003,3.1666666666666665
7.987871841045038,6.266666666666667
7.144641867778052,5.566666666666666
6.043995716973952,4.3
4.619691246119473,2.966666666666667
