totalLength,totalCleaning
7.511416666666666,6.066666666666666
7.8340555555555556,6.266666666666667
7.664138888888889,5.9
7.682277777777778,6.233333333333333
7.7644166666666665,6.15
7.877361111111111,6.333333333333333
7.937805555555555,6.3
7.821833333333333,6.35
7.739777777777777,6.416666666666667
7.824166666666667,6.3
7.887194444444445,6.3
7.618027777777778,6.35
7.674222222222222,6.283333333333333
7.72825,6.266666666666667
7.622472222222223,6.133333333333334
7.716972222222222,6.083333333333333
7.701555555555556,6.15
7.615083333333333,6.066666666666666
7.785694444444444,6.25
7.498361111111111,5.8
7.728416666666666,6.033333333333333
7.73675,6.35
7.750972222222222,6.25
7.7056666666666676,6.366666666666666
7.471444444444445,5.983333333333333
7.51075,6.183333333333334
7.653277777777777,6.333333333333333
7.404444444444445,5.883333333333334
7.45375,6.1
7.54,6.066666666666666
7.794722222222222,6.2
7.624,6.166666666666667
7.384111111111111,5.833333333333333
7.457305555555555,5.9
7.558305555555555,6.066666666666666
7.685444444444444,6.033333333333333
7.777611111111111,6.066666666666666
7.532305555555555,5.866666666666666
7.866694444444445,6.033333333333333
7.755833333333333,6.266666666666667
7.685999999999999,5.95
7.897611111111112,6.2
7.69975,6.066666666666666
7.7836388888888886,6.2
7.72561111111111,6.033333333333333
7.910944444444444,6.083333333333333
7.819444444444445,6.183333333333334
7.785916666666666,5.85
7.932194444444445,5.966666666666667
7.954416666666666,5.816666666666666
