Route,ID_MAXIMO,Order,Name,Dova_code,Night_shift,longitude,latitude,ID
REI-D103,HLS0304,9,Herenstraat 85 Westland/Middendelfland,NL:Q:42058202,0,4.281466,52.02547,59
REI-D103,HLS0305,10,Herenstraat 85 Westland/Middendelfland,NL:Q:42058201,0,4.280727,52.025301,60
REI-D103,HLS0235,11,Bezuidenhoutseweg 480,NL:Q:42022701,0,4.36135,52.100359,61
REI-D103,HLS0236,12,Bezuidenhoutseweg 480,NL:Q:42022702,0,4.360956,52.100355,62
REI-D103,HLS0152,13,Bezuidenhoutseweg 429,NL:Q:42013302,0,4.358048,52.098631,63
REI-D103,HLS0205,14,Bezuidenhoutseweg/Reigersbergenweg,NL:Q:42018502,0,4.349589,52.093316,64
REI-D103,HLS0129,15,Bezuidenhoutseweg 335,NL:Q:42010902,0,4.339957,52.090202,65
REI-D103,HLS0183,16,Bezuidenhoutseweg 150,NL:Q:42017002,0,4.333882,52.087325,66
REI-D103,HLS0125,17,Bezuidenhoutseweg 30,NL:Q:42009902,0,4.328673,52.084834,67
REI-D103,HLS0362,18,Benoordenhoutseweg/Willem Witsenplein,NL:Q:54000670,0,4.331293,52.092507,68
REI-D103,HLS0366,19,Benoordenhoutseweg,NL:Q:54142010,0,4.335599,52.094361,69
REI-D103,HLS0367,20,Benoordenhoutseweg/Leidsestraatweg,NL:Q:54142030,0,4.347509,52.09932,70
REI-D103,HLS0365,21,Benoordenhoutseweg/Viaduct N14,NL:Q:54140330,0,4.358149,52.105005,71
REI-D103,HLS0368,22,Benoordenhoutseweg/Waaldorperlaan,NL:Q:54142040,0,4.346273,52.099103,72
REI-D103,HLS0364,23,Benoordenhoutseweg 254,NL:Q:54000730,0,4.334929,52.094274,73
REI-D103,HLS0363,24,Benoordenhoutseweg 227,NL:Q:54000680,0,4.329667,52.09216,74
REI-D103,HLS0124,25,Bezuidenhoutseweg 30,NL:Q:42009901,0,4.329035,52.084945,75
REI-D103,HLS0182,26,Bezuidenhoutseweg 225,NL:Q:42017001,0,4.335973,52.088369,76
REI-D103,HLS0128,27,Bezuidenhoutseweg 379,NL:Q:42010901,0,4.34088,52.090669,77
REI-D103,HLS0204,28,Bezuidenhoutseweg/Reigersbergenweg,NL:Q:42018501,0,4.350785,52.093965,78
REI-D103,HLS0151,29,Bezuidenhoutseweg 429,NL:Q:42013301,0,4.357855,52.098108,79
REI-D104,HLT2636,1,Theresiastraat 162,NL:Q:32002636,0,4.33575583046536,52.0855605236657,80
REI-D104,HLT2504,2,Vlaskamp 520,NL:Q:32002504,0,4.35070206639716,52.092189557212,81
REI-D104,HLT2502,3,Vlaskamp/Haverkamp,NL:Q:32002502,0,4.34746839776514,52.0909152755171,82
REI-D104,HLT2641,4,De Eerensplein 10,NL:Q:32002641,0,4.344221098045,52.0893228656168,83
REI-D104,HLT2640,5,Theresiastraat 356-312,NL:Q:32002640,0,4.34053603045142,52.0878914018656,84
REI-D104,HLT2635,6,Theresiastraat 162,NL:Q:32002635,0,4.33584919834467,52.085735494864,85
REI-D104,HLT2639,7,Theresiastraat 284,NL:Q:32002639,0,4.3395330165364,52.0872884352986,86
REI-D104,HLT2642,8,De Eerensplein 29,NL:Q:32002642,0,4.34439808585869,52.089182696308,87
REI-D104,HLT2501,9,Vlaskamp/Haverkamp,NL:Q:32002501,0,4.34728061693831,52.0906293138396,88
REI-D104,HLT2503,10,Diamanthorst 43,NL:Q:32002503,0,4.35244085851387,52.0926541492052,89
REI-D104,HLT2506,11,Diamanthorst 187,NL:Q:32002506,0,4.3559562781038,52.0943794596975,90
REI-D104,HLT2505,12,Diamanthorst 187,NL:Q:32002505,0,4.35615315934329,52.0943226209363,91
REI-D104,HLT2507,13,Diamanthorst/Komalijnhorst,NL:Q:32002507,0,4.36013991659398,52.0964923707625,92
REI-D104,HLT2508,14,Diamanthorst/Komalijnhorst,NL:Q:32002508,0,4.36071909051003,52.09652487987,93
REI-D104,HLS0157,15,Prinses Beatrixlaan 3,NL:Q:42014101,0,4.332999,52.081448,94
REI-D104,HLS0316,16,Prinses Beatrixlaan 15,NL:Q:42067702,0,4.335131,52.079507,95
REI-D104,HLS0147,17,Prinses Beatrixlaan 31,NL:Q:42013101,0,4.337596,52.077642,96
REI-D104,HLS0148,18,Prinses Beatrixlaan 800,NL:Q:42013102,0,4.337889,52.077599,97
REI-D104,HLS0315,19,Prinses Beatrixlaan 400,NL:Q:42067701,0,4.334246,52.080542,98
REI-D104,HLT2649,20,Laan van Nieuw Oost Indië 142,NL:Q:32002649,0,4.33931637114307,52.0843828889647,99
REI-D104,HLT2637,21,Laan van Nieuw Oost Indië 44A,NL:Q:32002637,0,4.33684134900341,52.0865157166829,100
REI-D105,HLT3844,1,Neherkade 3140,NL:Q:32003844,0,4.3120325933739,52.0582038775979,101
REI-D105,HLT3843,2,Neherkade 3140,NL:Q:32003843,0,4.31227534198531,52.0580301651399,102
REI-D105,HLT3858,3,Megastores 214,NL:Q:32003858,0,4.31476386024955,52.0647737440185,103
REI-D105,HLT3857,4,Waldorptraat 274,NL:Q:32003857,0,4.31534220608393,52.0650114218305,104
REI-D105,HLT3860,5,Waldorptraat 45,NL:Q:32003860,0,4.31860823810236,52.0669240153178,105
REI-D105,HLT3859,6,Waldorptraat 162,NL:Q:32003859,0,4.31862063254475,52.0667390942887,106
REI-D105,HLT3847,7,Waldorptraat 111,NL:Q:32003847,0,4.3226077914308,52.068526848567,107
REI-D105,HLT3847,8,Waldorptraat 111,NL:Q:32003847,0,4.3226077914308,52.068526848567,108
REI-D105,HLT3847,9,Waldorptraat 111,NL:Q:32003847,0,4.3226077914308,52.068526848567,109
REI-D105,HLT3847,10,Waldorptraat 111,NL:Q:32003847,0,4.3226077914308,52.068526848567,110
REI-D105,HLT2874,11,Kneuterdijk 24,NL:Q:32002874,0,4.30896562829692,52.0813951847169,111
REI-D105,HLT2873,12,Lange voorhout 1A,NL:Q:32002873,0,4.30955207869815,52.0813797306583,112
REI-D105,HLT2857,13,Schedeldoekshaven 60,NL:Q:32002857,0,4.3181708455341,52.0762761181492,113
REI-D105,HLT2858,14,Ammunitiehaven 191,NL:Q:32002858,0,4.320234,52.077117,114
REI-D105,HLT3820,15,de Genesteltlaan 122,NL:Q:32003820,0,4.32176434430744,52.0580731595153,115
REI-D105,HLT3833,16,Jan van Beersstraat 1-23,NL:Q:32003833,0,4.32339259232234,52.0557150313279,116
REI-D105,HLT3834,17,Jan van Beersstraat 1-23,NL:Q:32003834,0,4.32384185127498,52.0557310434146,117
REI-D105,HLT3819,18,de Genesteltlaan 122,NL:Q:32003819,0,4.32137820675742,52.0587886410883,118
REI-D105,HLT3807,19,Slachthuislaan 20,NL:Q:32003807,0,4.31843417672131,52.0611665389729,119
REI-D105,HLT3808,20,Slachthuislaan 25,NL:Q:32003808,0,4.31835416602612,52.0610015648897,120
REI-D106,HLT2633,1,Theresiastraat 34,NL:Q:32002633,0,4.33298454463528,52.0844643197803,121
REI-D106,HLT2634,2,Theresiastraat 34,NL:Q:32002634,0,4.33328306724958,52.0844686259132,122
REI-D106,HLT2631,3,Theresiastraat 2,NL:Q:32002631,0,4.33006987364627,52.0830736144388,123
REI-D106,HLT2632,4,Theresiastraat 12D,NL:Q:32002632,0,4.33092356249137,52.0834327104532,124
REI-D106,HLT2638,5,Laan van Nieuw Oost Indië 121,NL:Q:32002638,0,4.33736218862579,52.0859212517317,125
REI-D106,HLT2650,6,Laan van Nieuw Oost Indië 145,NL:Q:32002650,0,4.33930181540872,52.0842494031283,126
REI-D106,HLS0158,7,Juliana van Stoberglaan 20,NL:Q:42014102,0,4.331895,52.081878,127
REI-D106,HLT0447,8,Oostduinlaan 40,NL:Q:32000447,0,4.315542,52.091529,128
REI-D106,HLT0448,9,Oostduinlaan 40,NL:Q:32000448,0,4.315419,52.091761,129
REI-D106,HLT0436,10,Jan van Nassaustraat 62,NL:Q:32000436,0,4.317533,52.088805,130
REI-D106,HLT0437,11,Jozef Israellaan 37,NL:Q:32000437,0,4.319583,52.089741,131
REI-D106,HLT0427,12,Jozef Israelplein 36,NL:Q:32000427,0,4.3195205259337,52.0921868243557,132
REI-D106,HLT0426,13,Wassenaarseweg,NL:Q:32000426,0,4.31957823867838,52.0924967656612,133
REI-D106,HLT0428,14,Wassenaarseweg 89,NL:Q:32000428,0,4.323095,52.093601,134
REI-D106,HLT0429,15,Wassenaarseweg105,NL:Q:32000429,0,4.324033,52.094068,135
REI-D106,HLT0440,16,Hart Nibbrigkade 6774,NL:Q:32000440,0,4.330286,52.094367,136
REI-D106,HLT0431,17,van Alkemadelaan 220,NL:Q:32000431,0,4.326403,52.096265,137
REI-D106,HLT0416,18,van Alkemadelaan 131,NL:Q:32000416,0,4.32193029175675,52.1001790236594,138
REI-D106,HLT0404,19,van Alkemadelaan 289,NL:Q:32000404,0,4.31796413410107,52.1035931062374,139
REI-D106,HLT0406,20,Waalsdorperweg 189,NL:Q:32000406,0,4.317923,52.104215,140
REI-D106,HLT0405,21,Waalsdorperweg 235,NL:Q:32000405,0,4.319108,52.104729,141
REI-D106,HLT0408,22,Theo Mann Bouwmeesterlaan 1,NL:Q:32000408,0,4.323166,52.105359,142
REI-D106,HLT0409,23,Theo Mann Bouwmeesterlaan 62,NL:Q:32000409,0,4.325369,52.105388,143
REI-D106,HLT0407,24,Else Mauhslaan 2,NL:Q:32000407,0,4.323516,52.105956,144
REI-D106,HLT0410,25,Oude Waaldorperweg/van der Aastraat,NL:Q:32000410,0,4.318902,52.105159,145
