ID_MAXIMO,first_order,n_visits,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,abri,Service_time
HLS0124,25,1,REI-D103,1,Bezuidenhoutseweg 30,NL:Q:42009901,0,4.329035,52.084945,51,0,10
HLS0125,17,1,REI-D103,2,Bezuidenhoutseweg 30,NL:Q:42009902,0,4.328673,52.084834,52,0,10
HLS0128,27,1,REI-D103,3,Bezuidenhoutseweg 379,NL:Q:42010901,0,4.34088,52.090669,53,1,20
HLS0129,15,1,REI-D103,4,Bezuidenhoutseweg 335,NL:Q:42010902,0,4.339957,52.090202,54,1,20
HLS0151,29,1,REI-D103,5,Bezuidenhoutseweg 429,NL:Q:42013301,0,4.357855,52.098108,55,1,20
HLS0152,13,1,REI-D103,6,Bezuidenhoutseweg 429,NL:Q:42013302,0,4.358048,52.098631,56,1,20
HLS0182,26,1,REI-D103,7,Bezuidenhoutseweg 225,NL:Q:42017001,0,4.335973,52.088369,57,0,10
HLS0183,16,1,REI-D103,8,Bezuidenhoutseweg 150,NL:Q:42017002,0,4.333882,52.087325,58,0,10
HLS0204,28,1,REI-D103,9,Bezuidenhoutseweg/Reigersbergenweg,NL:Q:42018501,0,4.350785,52.093965,59,1,20
HLS0205,14,1,REI-D103,10,Bezuidenhoutseweg/Reigersbergenweg,NL:Q:42018502,0,4.349589,52.093316,60,1,20
HLS0235,11,1,REI-D103,11,Bezuidenhoutseweg 480,NL:Q:42022701,0,4.36135,52.100359,61,1,20
HLS0236,12,1,REI-D103,12,Bezuidenhoutseweg 480,NL:Q:42022702,0,4.360956,52.100355,62,1,20
HLS0304,9,1,REI-D103,13,Herenstraat 85 Westland/Middendelfland,NL:Q:42058202,0,4.281466,52.02547,63,0,10
HLS0305,10,1,REI-D103,14,Herenstraat 85 Westland/Middendelfland,NL:Q:42058201,0,4.280727,52.025301,64,0,10
HLS0307,6,1,REI-D103,15,Heulweg 45 Westland/Middendelfland,NL:Q:42058401,0,4.269523,52.022319,65,0,10
HLS0308,7,1,REI-D103,16,Heulweg 54 Westland/Middendelfland,NL:Q:42058402,0,4.269222,52.022127,66,0,10
HLS0309,8,1,REI-D103,17,Herenstraat 2 Westland/Middendelfland,NL:Q:42058501,0,4.274822,52.02369,67,0,10
HLS0362,18,1,REI-D103,18,Benoordenhoutseweg/Willem Witsenplein,NL:Q:54000670,0,4.331293,52.092507,68,1,20
