,PO:REI3N101,Unnamed: 1,Route: REI-N101,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
209,4,,HLT3620,BEHEER,"Halte, NL:Q:32003620 Heeswijkplein",Erasmusweg 68,REI-0023,,,
210,5,,HLT3626,BEHEER,"Halte, NL:Q:32003626 Station Moerwijk",Erasmusweg 2,REI-0023,,,
211,6,,HLT3627,BEHEER,"Halte, NL:Q:32003627 Station Moerwijk",Erasmusweg 2,REI-0023,,,
212,7,,HLT3607,BEHEER,"Halte, NL:Q:32003607 Anna Bijnslaan",Melis Stokelaan 131,REI-0023,,,
213,8,,HLT3608,BEHEER,"Halte, NL:Q:32003608 Anna Bijnslaan",Anna Bijnslaan 162,REI-0023,,,
214,9,,HLT3702,BEHEER,"Halte, NL:Q:32003702 Dynamostraat",Fruitweg 23,REI-0023,,,
215,10,,HLT3701,BEHEER,"Halte, NL:Q:32003701 Dynamostraat",Fruitweg 20,REI-0023,,,
216,11,,HLT3803,BEHEER,"Halte, NL:Q:32003803 Calandplein",Calandstraat 1,REI-0023,,,
217,12,,HLT3804,BEHEER,"Halte, NL:Q:32003804 Calandplein",Calandstraat 12,REI-0023,,,
218,13,,HLT3603,BEHEER,"Halte, NL:Q:32003603 Zuiderpark",Melis Stokelaan 506,REI-0023,,,
219,14,,HLT3604,BEHEER,"Halte, NL:Q:32003604 Zuiderpark",Melis Stokelaan 506,REI-0023,,,
220,15,,HLT3424,BEHEER,"Halte, NL:Q:32003424 Loevesteinlaan",Melis Stokelaan 938,REI-0023,,,
221,16,,HLT3424,BEHEER,"Halte, NL:Q:32003424 Loevesteinlaan",Melis Stokelaan 938,REI-0023,,,
222,17,,HLT3425,BEHEER,"Halte, NL:Q:32003425 Loevesteinlaan",Melis Stokelaan 938,REI-0023,,,
223,18,,HLT3425,BEHEER,"Halte, NL:Q:32003425 Loevesteinlaan",Melis Stokelaan 938,REI-0023,,,
224,19,,HLT3419,BEHEER,"Halte, NL:Q:32003419 Melis Stokelaan",Leyweg 785,REI-0023,,,
225,20,,HLT3420,BEHEER,"Halte, NL:Q:32003420 Melis Stokelaan",Leyweg 785,REI-0023,,,
226,,,,,,,,,,
227,PO: REI3N110,,Route: REI-N110,,,,,,,
228,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
229,1,,HLT3426,BEHEER,"Halte, NL:Q:32003426 Paterswoldestraat",Leyweg 1410,REI-0023,,,Verplaatst van N109 naar N110
230,2,,HLT3427,BEHEER,"Halte, NL:Q:32003427 Paterswoldestraat",Leyweg 993,REI-0023,,,
231,3,,HLT3418,BEHEER,"Halte, NL:Q:32003418 Leggelostraat",Melis Stokelaan 1590,REI-0023,,,
232,4,,HLT3417,BEHEER,"Halte, NL:Q:32003417 Leggelostraat",Melis Stokelaan 1590,REI-0023,,,
233,5,,HLT3442,BEHEER,"Halte, NL:Q:32003442 Steenwijklaan",Dedemsvaartweg 1125,REI-0023,,,
234,6,,HLT3443,BEHEER,"Halte, NL:Q:32003443 Steenwijklaan",Dedemsvaartweg 1023,REI-0023,,,
235,7,,HLT3336,BEHEER,"Halte, NL:Q:32003336 Wolweversgaarde",Melis Stokelaan 1189,REI-0023,,,
236,8,,HLT3335,BEHEER,"Halte, NL:Q:32003335 Wolweversgaarde",Melis Stokelaan 1189,REI-0023,,,
237,9,,HLT3334,BEHEER,"Halte, NL:Q:32003334 Revalidatiecentrum",Melis Stokelaan 1936,REI-0023,,,
238,10,,HLT3333,BEHEER,"Halte, NL:Q:32003333 Revalidatiecentrum",Melis Stokelaan 2068A,REI-0023,,,
239,11,,HLT3331,BEHEER,"Halte, NL:Q:32003331 Beresteinlaan",Melis Stokelaan 2478,REI-0023,,,
240,12,,HLT3330,BEHEER,"Halte, NL:Q:32003330 Beresteinlaan",Melis Stokelaan/Beresteinlaan,REI-0023,,,
241,13,,HLT3329,BEHEER,"Halte, NL:Q:32003329 De Dreef",Melis Stokezijde/de Dreef,REI-0023,,,
242,14,,HLT3328,BEHEER,"Halte, NL:Q:32003328 De Dreef",Melis Stokezijde/de Dreef,REI-0023,,,
243,15,,HLT3327,BEHEER,"Halte, NL:Q:32003327 De Dreef",Melis Stokezijde/de Dreef,REI-0023,,,
244,16,,HLT3403,BEHEER,"Halte, NL:Q:32003403 Zuidwoldepad",Zuidwoldestraat 40,REI-0023,,,
245,17,,HLT3403,BEHEER,"Halte, NL:Q:32003403 Zuidwoldepad",Zuidwoldestraat 40,REI-0023,,,
246,18,,HLT3404,BEHEER,"Halte, NL:Q:32003404 Zuidwoldepad",Zuidwoldestraat 40,REI-0023,,,
247,19,,HLT3404,BEHEER,"Halte, NL:Q:32003404 Zuidwoldepad",Zuidwoldestraat 40,REI-0023,,,
248,20,,HLT3401,BEHEER,"Halte, NL:Q:32003401 Dedemsvaartweg",Meppelweg 901,REI-0023,,,
249,21,,HLT3401,BEHEER,"Halte, NL:Q:32003401 Dedemsvaartweg",Meppelweg 901,REI-0023,,,
250,22,,HLT3402,BEHEER,"Halte, NL:Q:32003402 Dedemsvaartweg",Meppelweg 901,REI-0023,,,
251,23,,HLT3402,BEHEER,"Halte, NL:Q:32003402 Dedemsvaartweg",Meppelweg 901,REI-0023,,,
252,,,,,,,,,,
253,PO: REI3N111,,Route: REI-N111,,,,,,,
254,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
255,1,,HLT3311,BEHEER,"Halte, NL:Q:32003311 De Rade",Meppelweg/Meppelrade,REI-0023,,,
256,2,,HLT3311,BEHEER,"Halte, NL:Q:32003311 De Rade",Meppelweg/Meppelrade,REI-0023,,,
257,3,,HLT3312,BEHEER,"Halte, NL:Q:32003312 De Rade",Meppelweg/Meppelrade,REI-0023,,,
258,4,,HLT3312,BEHEER,"Halte, NL:Q:32003312 De Rade",Meppelweg/Meppelrade,REI-0023,,,
259,5,,HLT3310,BEHEER,"Halte, NL:Q:32003310 Bouwlustlaan",Meppelweg 1381,REI-0023,,,
260,6,,HLT3310,BEHEER,"Halte, NL:Q:32003310 Bouwlustlaan",Meppelweg 1381,REI-0023,,,
261,7,,HLT3309,BEHEER,"Halte, NL:Q:32003309 Bouwlustlaan",Meppelweg 1381,REI-0023,,,
262,8,,HLT3306,BEHEER,"Halte, NL:Q:32003306 Beresteinlaan",Meppelweg 1391,REI-0023,,,
263,9,,HLT3305,BEHEER,"Halte, NL:Q:32003305 Beresteinlaan",Meppelweg 1391,REI-0023,,,
264,10,,HLT3305,BEHEER,"Halte, NL:Q:32003305 Beresteinlaan",Meppelweg 1391,REI-0023,,,
265,11,,HLT3350,BEHEER,"Halte, NL:Q:32003350 De Uithof (ontwerp zie bijlage)",Jaap Edenweg/Lozerlaan,REI-0023,,,
266,12,,HLT3350,BEHEER,"Halte, NL:Q:32003350 De Uithof (ontwerp zie bijlage)",Jaap Edenweg/Lozerlaan,REI-0023,,,
267,13,,HLT1601,BEHEER,"Halte, NL:Q:32001601 Kraayensteinlaan",Kraayensteinlaan/Margharetha van Hennebergweg,REI-0023,,,
268,14,,HLT1602,BEHEER,"Halte, NL:Q:32001602 Kraayensteinlaan",Kraayensteinlaan/Margharetha van Hennebergweg,REI-0023,,,
269,15,,HLT1607,BEHEER,"Halte, NL:Q:32001607 Kraayensteinlaan",Kraayensteinlaan/Margharetha van Hennebergweg,REI-0023,,,
270,16,,HLT1606,BEHEER,"Halte, NL:Q:32001606 Kraayensteinlaan",Kraayensteinlaan/Margharetha van Hennebergweg,REI-0023,,,
271,17,,HLT1712,BEHEER,"Halte, NL:Q:32001712 Kapelaan Meereboerweg",A. Petersweg 53,REI-0023,,,
272,18,,HLT1712,BEHEER,"Halte, NL:Q:32001712 Kapelaan Meereboerweg",A. Petersweg 53,REI-0023,,,
273,19,,HLT1708,BEHEER,"Halte, NL:Q:32001708 Loosduinse Hoofdstraat",Lippe-Biesterfeldweg 81,REI-0023,,,
274,20,,HLT1708,BEHEER,"Halte, NL:Q:32001708 Loosduinse Hoofdstraat",Lippe-Biesterfeldweg 81,REI-0023,,,
275,21,,HLT1818,BEHEER,"Halte, NL:Q:32001818 Arnold Spoelplein",Pisuissestraat 7,REI-0023,,,
276,22,,HLT1805,BEHEER,"Halte, NL:Q:32001805 Pisuissestraat",Pisuissestraat 5,REI-0023,,,Verplaatst van N112 naar N111
277,23,,HLT1806,BEHEER,"Halte, NL:Q:32001806 Pisuissestraat",Pisuissestraat/Beethovenlaan,REI-0023,,,
278,,,,,,,,,,
279,PO:REI3N112,,Route: REI-N112,,,,,,,
280,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
281,1,,HLT1710,BEHEER,"Halte, NL:Q:32001710 Burgemeester Hovylaan",Burgemeester Hovylaan 43,REI-0023,,,
282,2,,HLT1709,BEHEER,"Halte, NL:Q:32001709 Burgemeester Hovylaan",Burgemeester Hovylaan 43,REI-0023,,,
283,3,,HLT1810,BEHEER,"Halte, NL:Q:32001810 Buitentuinen",Oude haagweg 42,REI-0023,,,
284,4,,HLT1811,BEHEER,"Halte, NL:Q:32001811 Buitentuinen",Oude haagweg 42,REI-0023,,,
285,5,,HLT1824,BEHEER,"Halte, NL:Q:32001824 Buitentuinen",REI-POH Reinigen Abri (unit-230) en Hekwerk (unit-231),REI-0023,,,Verplaatst van D113 naar N112
286,6,,HLT1218,BEHEER,"Halte, NL:Q:32001218 Azaleaplein",Laan van Meerdervoort 616,REI-0023,,,
287,7,,HLT1218,BEHEER,"Halte, NL:Q:32001218 Azaleaplein",Laan van Meerdervoort 616,REI-0023,,,
288,8,,HLT1217,BEHEER,"Halte, NL:Q:32001217 Azaleaplein",Laan van Meerdervoort 616,REI-0023,,,
289,9,,HLT1217,BEHEER,"Halte, NL:Q:32001217 Azaleaplein",Laan van Meerdervoort 616,REI-0023,,,
290,10,,HLT1213,BEHEER,"Halte, NL:Q:32001213 Zonnebloemstraat",Laan van Meerdervoort 750,REI-0023,,,
291,11,,HLT1213,BEHEER,"Halte, NL:Q:32001213 Zonnebloemstraat",Laan van Meerdervoort 750,REI-0023,,,
292,12,,HLT1214,BEHEER,"Halte, NL:Q:32001214 Zonnebloemstraat",Laan van Meerdervoort 750,REI-0023,,,
293,13,,HLT1214,BEHEER,"Halte, NL:Q:32001214 Zonnebloemstraat",Laan van Meerdervoort 750,REI-0023,,,
294,14,,HLT1903,BEHEER,"Halte, NL:Q:32001903 Appelstraat",Laan van Meerdervoort 810,REI-0023,,,
295,15,,HLT1903,BEHEER,"Halte, NL:Q:32001903 Appelstraat",Laan van Meerdervoort 810,REI-0023,,,
296,16,,HLT1904,BEHEER,"Halte, NL:Q:32001904 Appelstraat",Laan van Meerdervoort 857,REI-0023,,,
297,17,,HLT1904,BEHEER,"Halte, NL:Q:32001904 Appelstraat",Laan van Meerdervoort 857,REI-0023,,,
298,18,,HLT1428,BEHEER,"Halte, NL:Q:32001428 De Savornin Lohmanplein (ontwerp bijlage)",Savornin Lohmanplein 5,REI-0023,,,
299,19,,HLT1420,BEHEER,"Halte, NL:Q:32001420 De Savornin Lohmanplein",Savornin Lohmanplein 1,REI-0023,,,
300,20,,HLT1420,BEHEER,"Halte, NL:Q:32001420 De Savornin Lohmanplein",Savornin Lohmanplein 1,REI-0023,,,
301,21,,HLT1419,BEHEER,"Halte, NL:Q:32001419 De Savornin Lohmanplein",Savornin Lohmanplein 1,REI-0023,,,
302,22,,HLT1419,BEHEER,"Halte, NL:Q:32001419 De Savornin Lohmanplein",Laan van Meerdervoort 1261,REI-0023,,,
303,,,,,,,,,,
304,PO:REI3N113,,Route: REI-N113,,,,,,,
305,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
306,1,,HLT1424,BEHEER,"Halte, NL:Q:32001424 Hoefbladlaan",Laan van Meerdervoort 1261,REI-0023,,,
307,2,,HLT1424,BEHEER,"Halte, NL:Q:32001424 Hoefbladlaan",Laan van Meerdervoort 1261,REI-0023,,,
308,3,,HLT1423,BEHEER,"Halte, NL:Q:32001423 Hoefbladlaan",Laan van Meerdervoort 1261,REI-0023,,,
309,4,,HLT1415,BEHEER,"Halte, NL:Q:32001415 Muurbloemweg",Laan van Meerdervoort 1631,REI-0023,,,
310,5,,HLT1416,BEHEER,"Halte, NL:Q:32001416 Muurbloemweg",Laan van Meerdervoort 1631,REI-0023,,,
311,6,,HLT1416,BEHEER,"Halte, NL:Q:32001416 Muurbloemweg",Laan van Meerdervoort 1631,REI-0023,,,
312,7,,HLT1802,BEHEER,"Halte, NL:Q:32001802 Heliotrooplaan",Laan van Meerdervoort/Heliotrooplaan,REI-0023,,,
313,8,,HLT1801,BEHEER,"Halte, NL:Q:32001801 Heliotrooplaan",Laan van Meerdervoort/Heliotrooplaan,REI-0023,,,
314,9,,HLT1801,BEHEER,"Halte, NL:Q:32001801 Heliotrooplaan",Laan van Meerdervoort/Heliotrooplaan,REI-0023,,,
315,10,,HLT1802,BEHEER,"Halte, NL:Q:32001802 Heliotrooplaan",Laan van Meerdervoort/Heliotrooplaan,REI-0023,,,
316,11,,HLT1813,BEHEER,"Halte, NL:Q:32001813 Mozartlaan",Aaltje noorderwierstraat/Mozartlaan,REI-0023,,,
317,12,,HLT1813,BEHEER,"Halte, NL:Q:32001813 Mozartlaan",Aaltje noorderwierstraat/Mozartlaan,REI-0023,,,
318,13,,HLT1812,BEHEER,"Halte, NL:Q:32001812 Mozartlaan",Aaltje noorderwierstraat/Mozartlaan,REI-0023,,,
319,14,,HLT1919,BEHEER,"Halte, NL:Q:32001919 Walnootstraat",Oude Haagweg/Walnootstraat,REI-0023,,,
320,15,,HLT1920,BEHEER,"Halte, NL:Q:32001920 Walnootstraat",Oude Haagweg/Walnootstraat,REI-0023,,,
321,16,,HLT1922,BEHEER,"Halte, NL:Q:32001922 Thorbeckelaan",Loosduinsekade 725,REI-0023,,,
322,17,,HLT1921,BEHEER,"Halte, NL:Q:32001921 Thorbeckelaan",Loosduinsekade 725,REI-0023,,,
323,18,,HLT3204,BEHEER,"Halte, NL:Q:32003204 Nieuwendamlaan",Loosduinsekade/Nieuwendamlaan,REI-0023,,,
324,19,,HLT3203,BEHEER,"Halte, NL:Q:32003203 Nieuwendamlaan",Loosduinsekade/Nieuwendamlaan,REI-0023,,,
325,20,,HLT3205,BEHEER,"Halte, NL:Q:32003205 Laan van Eik en Duinen",Loosduinsekade 609,REI-0023,,,
326,21,,HLT3206,BEHEER,"Halte, NL:Q:32003206 Laan van Eik en Duinen",Loosduinsekade 609,REI-0023,,,
327,22,,HLT1915,BEHEER,"Halte, NL:Q:32001915 Perenstraat",Mient 433,REI-0023,,,Verplaatst van D111 naar N113
328,23,,HLT3101,BEHEER,"Halte, NL:Q:32003101 Kamperfoeliestraat",Loosduinseweg 486,REI-0023,,,
329,,,,,,,,,,
330,PO:REI3N114,,Route: REI-N114,,,,,,,
331,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
332,1,,HLT3102,BEHEER,"Halte, NL:Q:32003102 Kamperfoeliestraat",Loosduinseweg 486,REI-0023,,,
333,2,,HLT3103,BEHEER,"Halte, NL:Q:32003103 Valkenboslaan",Loosduinseweg 368,REI-0023,,,
334,3,,HLT3104,BEHEER,"Halte, NL:Q:32003104 Valkenboslaan (ontwerp zie bijlage)",Loosduinseweg 359,REI-0023,,,
335,4,,HLT3107,BEHEER,"Halte, NL:Q:32003107 Fahrenheitstraat (ontwerp zie bijlage)",Loosduinsekade 307,REI-0023,,,
336,5,,HLT3108,BEHEER,"Halte, NL:Q:32003108 Fahrenheitstraat (ontwerp zie bijlage)",Loosduinsekade 284,REI-0023,,,
337,6,,HLT3130,BEHEER,"Halte, NL:Q:32003130 Dierenselaan",Apeldoornselaan 159,REI-0023,,,
338,7,,HLT3130,BEHEER,"Halte, NL:Q:32003130 Dierenselaan",Apeldoornselaan 159,REI-0023,,,
339,8,,HLT3129,BEHEER,"Halte, NL:Q:32003129 Dierenselaan",Apeldoornselaan 159,REI-0023,,,
340,9,,HLT3129,BEHEER,"Halte, NL:Q:32003129 Dierenselaan",Apeldoornselaan 159,REI-0023,,,
341,10,,HLT3115,BEHEER,"Halte, NL:Q:32003115 Nunspeetlaan",Dierenselaan 110,REI-0023,,,
342,11,,HLT3116,BEHEER,"Halte, NL:Q:32003116 Nunspeetlaan",Dierenselaan 62,REI-0023,,,
343,12,,HLT3008,BEHEER,"Halte, NL:Q:32003008 Paul Krugerplein",Paul Krugerplein 26,REI-0023,,,
344,13,,HLT3005,BEHEER,"Halte, NL:Q:32003005 Paul Krugerplein",Paul Krugerplein 26,REI-0023,,,
345,14,,HLT3006,BEHEER,"Halte, NL:Q:32003006 Paul Krugerplein",Paul Krugerlaan 172,REI-0023,,,
346,15,,HLT3007,BEHEER,"Halte, NL:Q:32003007 Paul Krugerplein",Paul Krugerlaan 172,REI-0023,,,
347,16,,HLT3002,BEHEER,"Halte, NL:Q:32003002 Loosduinseweg",Paul Krugerlaan 8,REI-0023,,,
348,17,,HLT3001,BEHEER,"Halte, NL:Q:32003001 Loosduinseweg",Regentesselaan 388,REI-0023,,,
349,,,,,,,,,,
350,PO: REI3N115,,Route: REI-N115,,,,,,,
351,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
352,1,,HLT2003,BEHEER,"Halte, NL:Q:32002003 Goudenregenstraat",Laan van Meerdervoort 528,REI-0023,,,
353,2,,HLT2004,BEHEER,"Halte, NL:Q:32002004 Goudenregenstraat",Laan van Meerdervoort 528,REI-0023,,,
354,3,,HLT2004,BEHEER,"Halte, NL:Q:32002004 Goudenregenstraat",Laan van Meerdervoort 528,REI-0023,,,
355,4,,HLT2006,BEHEER,"Halte, NL:Q:32002006 Fahrenheitstraat",Laan van Meerdervoort 450,REI-0023,,,
356,5,,HLT2005,BEHEER,"Halte, NL:Q:32002005 Fahrenheitstraat",Laan van Meerdervoort 450,REI-0023,,,
357,6,,HLT2010,BEHEER,"Halte, NL:Q:32002010 Valkenbosplein",Laan van Meerdervoort 334D,REI-0023,,,
358,7,,HLT2010,BEHEER,"Halte, NL:Q:32002010 Valkenbosplein",Laan van Meerdervoort 334D,REI-0023,,,
359,8,,HLT2011,BEHEER,"Halte, NL:Q:32002011 Valkenbosplein",Laan van Meerdervoort 334D,REI-0023,,,
360,9,,HLT2011,BEHEER,"Halte, NL:Q:32002011 Valkenbosplein",Laan van Meerdervoort 334D,REI-0023,,,
361,10,,HLT1120,BEHEER,"Halte, NL:Q:32001120 Conradkade",Laan van Meerdervoort 224,REI-0023,,,
362,11,,HLT1119,BEHEER,"Halte, NL:Q:32001119 Conradkade",Laan van Meerdervoort 224,REI-0023,,,
363,12,,HLT2202,BEHEER,"Halte, NL:Q:32002202 Obrechtstraat",Laan van Meerdervoort 168,REI-0023,,,
364,13,,HLT2201,BEHEER,"Halte, NL:Q:32002201 Obrechtstraat",Laan van Meerdervoort 168,REI-0023,,,
365,14,,HLT1116,BEHEER,"Halte, NL:Q:32001116 Groot Hertoginnelaan",Waldeck Pyrmondkade 959,REI-0023,,,
366,15,,HLT1114,BEHEER,"Halte, NL:Q:32001114 Groot Hertoginnelaan",Groot Hertoginnelaan/Danckersstraat,REI-0023,,,
367,16,,HLT1115,BEHEER,"Halte, NL:Q:32001115 Groot Hertoginnelaan",Stadhouderslaan 2,REI-0023,,,
368,17,,HLT1109,BEHEER,"Halte, NL:Q:32001109 Groot Hertoginnelaan (ontwerp bijlage)",Groothertoginnelaan,REI-0023,,,Toegevoegd 
369,18,,HLT1108,BEHEER,"Halte, NL:Q:32001108 Groot Hertoginnelaan",Groothertoginnelaan,REI-0023,,,Toegevoegd 
370,19,,HLT2101,BEHEER,"Halte, NL:Q:32002101 Laan van Meerdervoort",Conradkade 204,REI-0023,,,Toegevoegd 
371,20,,HLT2102,BEHEER,"Halte, NL:Q:32002102 Laan van Meerdervoort",Conradkade 169,REI-0023,,,Toegevoegd 
372,21,,HLT1121,BEHEER,"Halte, NL:Q:32001121 Van Speijkstraat",Kon. Emmakade 152B,REI-0023,,,
373,22,,HLT1122,BEHEER,"Halte, NL:Q:32001122 Van Speijkstraat",Kon. Emmakade 152B,REI-0023,,,Volgorde veranderd
374,,,,,,,,,,
375,PO: REI3N116,,Route: REI-N116,,,,,,,
376,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
377,1,,HLT2106,BEHEER,"Halte, NL:Q:32002106 Weimarstraat",Conradkade 36B,REI-0023,,,
378,2,,HLT2105,BEHEER,"Halte, NL:Q:32002105 Weimarstraat",Conradkade 36B,REI-0023,,,
379,3,,HLT2212,BEHEER,"Halte, NL:Q:32002212 Elandstraat",Waldeck Pyrmondkade 116,REI-0023,,,
380,4,,HLT2212,BEHEER,"Halte, NL:Q:32002212 Elandstraat",Waldeck Pyrmondkade 116,REI-0023,,,
381,5,,HLT2213,BEHEER,"Halte, NL:Q:32002213 Elandstraat",Waldeck Pyrmondkade 116,REI-0023,,,
382,6,,HLT2213,BEHEER,"Halte, NL:Q:32002213 Elandstraat",Waldeck Pyrmondkade 116,REI-0023,,,
383,7,,HLT2211,BEHEER,"Halte, NL:Q:32002211 Zoutmanstraat",Zoutmanstraat 63B,REI-0023,,,
384,8,,HLT2210,BEHEER,"Halte, NL:Q:32002210 Zoutmanstraat",Zoutmanstraat 50,REI-0023,,,
385,9,,HLT2216,BEHEER,"Halte, NL:Q:32002216 Elandstraat",Vondelstraat 248,REI-0023,,,
386,10,,HLT2217,BEHEER,"Halte, NL:Q:32002217 Elandstraat",Vondelstraat 248,REI-0023,,,
387,11,,HLT2801,BEHEER,"Halte, NL:Q:32002801 Torenstraat",Bilderdijkstraat 4,REI-0023,,,
388,12,,HLT2802,BEHEER,"Halte, NL:Q:32002802 Torenstraat",Torenstraat 446,REI-0023,,,
389,13,,HLT2806,BEHEER,"Halte, NL:Q:32002806 Buitenhof",Kneuterdijk 1,REI-0023,,,
390,14,,HLT2805,BEHEER,"Halte, NL:Q:32002805 Buitenhof",Kneuterdijk 1,REI-0023,,,
391,15,,HLT2804,BEHEER,"Halte, NL:Q:32002804 Kneuterdijk",Kneuterdijk 3,REI-0023,,,
392,16,,HLT2803,BEHEER,"Halte, NL:Q:32002803 Kneuterdijk",Kneuterdijk 3,REI-0023,,,
393,17,,HLT2306,BEHEER,"Halte, NL:Q:32002306 Mauritskade",Alexanderstraat 5,REI-0023,,,Verplaatst van D110 naar N116
394,18,,HLT2305,BEHEER,"Halte, NL:Q:32002305 Mauritskade",Alexanderstraat 5,REI-0023,,,Verplaatst van D110 naar N116
395,19,,HLT2308,BEHEER,"Halte, NL:Q:32002308 Mauritskade",Alexanderstraat 5,REI-0023,,,
396,20,,HLT2307,UITBEHEER,"Halte, NL:Q:32002307 Mauritskade",Alexanderstraat 5,REI-0023,,,Verwijderen
397,20,,HLT2301,BEHEER,"Halte, NL:Q:32002301 Javastraat",Alexanderstraat 25,REI-0023,,,
398,21,,HLT2301,BEHEER,"Halte, NL:Q:32002301 Javastraat",Alexanderstraat 25,REI-0023,,,
399,22,,HLT2302,BEHEER,"Halte, NL:Q:32002302 Javastraat",Alexanderstraat 25,REI-0023,,,
400,,,,,,,,,,
401,PO: REI3N117,,Route: REI-N117,,,,,,,
402,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
403,1,,HLT0921,BEHEER,"Halte, NL:Q:32000921 World Forum",Scheveningseweg 44,REI-0023,,,
404,2,,HLT0922,BEHEER,"Halte, NL:Q:32000922 World Forum",Scheveningseweg 44,REI-0023,,,
405,3,,HLT1001,BEHEER,"Halte, NL:Q:32001001 Adriaan Goekooplaan",Scheveningseweg/Adriaan Goekooplaan,REI-0023,,,
406,4,,HLT1002,BEHEER,"Halte, NL:Q:32001002 Adriaan Goekooplaan",Scheveningseweg/Adriaan Goekooplaan,REI-0023,,,
407,5,,HLT0508,BEHEER,"Halte, NL:Q:32000508 Vredespaleis",Scheveningseweg/Carnegieplein,REI-0023,,,
408,6,,HLT0509,BEHEER,"Halte, NL:Q:32000509 Vredespaleis",Scheveningseweg/Carnegieplein,REI-0023,,,
409,7,,HLT0507,BEHEER,"Halte, NL:Q:32000507 Vredespaleis",Scheveningseweg/Carnegieplein,REI-0023,,,
410,8,,HLT2832,BEHEER,"Halte, NL:Q:32002832 Centrum",Spui 29,REI-0023,,,
411,9,,HLT2832,BEHEER,"Halte, NL:Q:32002832 Centrum",Spui 29,REI-0023,,,
412,10,,HLT2833,BEHEER,"Halte, NL:Q:32002833 Centrum",Spui 29,REI-0023,,,
413,11,,HLT2833,BEHEER,"Halte, NL:Q:32002833 Centrum",Spui 29,REI-0023,,,
414,12,,HLT2851,BEHEER,"Halte, NL:Q:32002851 Bierkade",Spui 279,REI-0023,,,
415,13,,HLT2851,BEHEER,"Halte, NL:Q:32002851 Bierkade",Spui 279,REI-0023,,,
416,14,,HLT2919,BEHEER,"Halte, NL:Q:32002919 Hoefkade",De heemstraat 432,REI-0023,,,
417,15,,HLT2919,BEHEER,"Halte, NL:Q:32002919 Hoefkade",De heemstraat 432,REI-0023,,,
418,16,,HLT2932,BEHEER,"Halte, NL:Q:32002932 Haagse Markt (ontwerp zie bijlage)",De heemstraat 168,REI-0023,,,
419,17,,HLT2932,BEHEER,"Halte, NL:Q:32002932 Haagse Markt (ontwerp zie bijlage)",De heemstraat 168,REI-0023,,,
420,18,,HLT2931,BEHEER,"Halte, NL:Q:32002931 Haagse Markt (ontwerp zie bijlage)",De heemstraat 168,REI-0023,,,
421,19,,HLT2931,BEHEER,"Halte, NL:Q:32002931 Haagse Markt (ontwerp zie bijlage)",De heemstraat 168,REI-0023,,,
422,20,,HLT2932,BEHEER,"Halte, NL:Q:32002932 Haagse Markt (ontwerp zie bijlage)",De heemstraat 168,REI-0023,,,
423,21,,HLT2911,BEHEER,"Halte, NL:Q:32002911 Haagse Markt",Hobbemaplein 8,REI-0023,,,
424,22,,HLT2912,BEHEER,"Halte, NL:Q:32002912 Haagse Markt",Hobbemaplein 8,REI-0023,,,
425,23,,HLT2908,BEHEER,"Halte, NL:Q:32002908 Delftselaan",De heemstraat 14,REI-0023,,,
426,24,,HLT2908,BEHEER,"Halte, NL:Q:32002908 Delftselaan",De heemstraat 14,REI-0023,,,
427,,,,,,,,,,
428,PO:REI3N118,,Route: REI-N118,,,,,,,
429,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
430,1,,HLT2935,BEHEER,"Halte, NL:Q:32002935 Delftselaan",Delftselaan/Herman Costerstraat,REI-0023,,,
431,2,,HLT2934,BEHEER,"Halte, NL:Q:32002934 Delftselaan",De heemstraat 198,REI-0023,,,
432,3,,HLT2822,BEHEER,"Halte, NL:Q:32002822 HMC Westeinde",Lijnbaan 96,REI-0023,,,
433,4,,HLT2822,BEHEER,"Halte, NL:Q:32002822 HMC Westeinde",Lijnbaan 96,REI-0023,,,
434,5,,HLT2820,BEHEER,"Halte, NL:Q:32002820 HMC Westeinde",Lijnbaan 96,REI-0023,,,
435,6,,HLT2820,BEHEER,"Halte, NL:Q:32002820 HMC Westeinde",Lijnbaan 96,REI-0023,,,
436,7,,HLT2821,BEHEER,"Halte, NL:Q:32002821 Brouwersgracht",Prinsengracht 64,REI-0023,,,
