,OBJECTID,ID_MAXIMO,AREACODE,HALTENAAM,NLQNR,INSTAP_PWD_NOV_ALLE_PERRONS_19,MAX_INSTAP_PWD_DRUKSTE_UUR_19,MAX_INSTAP_PWD_24,MAAND_MAX_PWD_24,MAX_INSTAP_PWD_DRUKSTE_UUR_24,MAX_INSTAP_PER_UUR_24,UUR_MAX_24,MAAND_UUR_MAX_PWD_24,INSTAP_PWD_REF_MAAND,LIJNEN,BASIS,PLUS,TOP_,CATEGORIE,CODE_CATEGORIE,CODE_OVERSTAP,CODE_RECREATIE,CODE_WIJK,CODE_SEIZOEN,CODE_VISUALISATIE,CRITERIUM_OVERSTAP,CRITERIUM_RECREATIE,CRITERIUM_WIJK,CRITERIUM_SEIZOEN,AANTAL_INWONERS,INSTAPPERS,INST_INW,latitude,longitude
229,424,HLT1108,1108,Groot Hertoginnelaan,NL:Q:32001108,509.0,100.0,453,1717200000000,105,16,16,1725148800000,394.0,11,3.0,,,3.0,3,0,0,0,0,30000,,,,,5618.0,49.095238,0.0087,52.0825539735308,4.27692826835316
230,425,HLT1112,1112,Valeriusstraat,NL:Q:32001112,103.0,24.0,89,1733011200000,29,14,14,1733011200000,104.0,21,3.0,,,3.0,3,0,0,0,0,30000,,,,,5313.0,10.761905,0.002,52.0837158898949,4.27906386319042
231,426,HLT1116,1114,Groot Hertoginnelaan,NL:Q:32001116,625.0,109.0,79,1727740800000,18,19,19,1714521600000,624.0,2017-11-01 00:00:00,3.0,,,3.0,3,0,0,0,0,30000,,,,,3878.0,138.142857,0.0356,52.0855730947396,4.28283793364544
232,427,HLT1120,1119,Conradkade,NL:Q:32001120,1294.0,179.0,1158,1733011200000,223,8,8,1706745600000,1290.0,1934-03-01 00:00:00,,2.0,,2.0,2,0,0,1,0,20010,,,Supermarkt + bibliotheek <200m,,7871.0,298.857143,0.038,52.0805678014127,4.28318244828922
233,428,HLT1124,1123,Laan van Meerdervoort,NL:Q:32001124,174.0,28.0,160,1706745600000,31,16,16,1714521600000,129.0,24-28-36,3.0,,,3.0,3,0,0,0,0,30000,,,,,4170.0,24.0,0.0058,52.0848907024605,4.29223345216926
234,429,HLT1203,1203,Nieboerweg,NL:Q:32001203,173.0,34.0,196,1733011200000,53,8,8,1733011200000,154.0,24,3.0,,,3.0,3,0,0,0,0,30000,,,,,3139.0,37.285714,0.0119,52.080466894061,4.26082125206425
235,430,HLT1207,1207,Eksterlaan,NL:Q:32001207,179.0,22.0,175,1730419200000,35,12,12,1719792000000,147.0,24,3.0,,,3.0,3,0,0,0,0,30000,,,,,2802.0,28.0,0.01,52.082334695646,4.26528730574358
236,431,HLT1211,1211,Goudenregenplein,NL:Q:32001211,357.0,83.0,351,1706745600000,135,12,12,1733011200000,294.0,12,3.0,,,3.0,3,0,0,0,0,30000,,,,,6262.0,48.666667,0.0078,52.0766044367726,4.26381920345304
237,432,HLT1217,1217,Azaleaplein,NL:Q:32001217,706.0,139.0,203,1709251200000,86,7,7,1709251200000,651.0,1934-03-01 00:00:00,3.0,,,3.0,3,0,0,0,0,30000,,,,,6344.0,163.571429,0.0258,52.0731559690043,4.26137550602631
238,433,HLT1305,1305,Oude Buizerdlaan,NL:Q:32001305,93.0,18.0,136,1714521600000,28,14,14,1714521600000,93.0,24,3.0,,,3.0,3,0,0,0,0,30000,,,,,1219.0,16.571429,0.0136,52.0742207720985,4.24535029567165
