ID_MAXIMO;Dova_code; longitude;latitude;
HLS0157;NL:Q:42014101;4.332.999;52.081.448;
HLS0158;NL:Q:42014102;4.331.895;52.081.878;
HLS0159;NL:Q:42014201;4.297.677;52.061.091;
HLS0160;NL:Q:42014202;4.297.795;52.061.056;
HLS0161;NL:Q:42014601;4.293.527;52.022.661;
HLS0162;NL:Q:42014602;4.293.806;52.023.167;
HLS0387;NL:Q:42014901;4.399.900;52.064.527;
HLS0163;NL:Q:42015001;4.415.457;52.062.058;
HLS0164;NL:Q:42015002;4.415.440;52.062.148;
HLS0165;NL:Q:42015701;4.240.985;52.043.186;
HLS0166;NL:Q:42015702;4.242.597;52.043.984;
HLS0168;NL:Q:42015801;4.352.741;52.047.906;
HLS0172;NL:Q:42015902;4.364.700;52.043.238;
HLS0173;NL:Q:42016001;4.384.400;52.052.728;
HLS0180;NL:Q:42016701;4.296.420;52.054.023;
HLS0181;NL:Q:42016702;4.296.006;52.054.864;
HLS0182;NL:Q:42017001;4.335.973;52.088.369;
HLS0183;NL:Q:42017002;4.333.882;52.087.325;
HLS0184;NL:Q:42017101;4.283.969;52.034.491;
HLS0185;NL:Q:42017102;4.284.155;52.034.610;
HLS0186;NL:Q:42017301;4.389.089;52.055.609;
HLS0188;NL:Q:42017401;4.226.034;52.050.833;
HLS0189;NL:Q:42017402;4.226.701;52.051.001;
HLS0190;NL:Q:42017501;4.221.448;52.048.900;
HLS0191;NL:Q:42017502;4.222.247;52.049.025;
HLS0192;NL:Q:42017601;4.229.364;52.052.313;
HLS0193;NL:Q:42017602;4.229.754;52.052.452;
HLS0194;NL:Q:42017701;4.290.070;52.026.368;
HLS0195;NL:Q:42017702;4.289.974;52.026.727;
HLS0196;NL:Q:42017801;4.209.726;52.046.150;
HLS0197;NL:Q:42017802;4.209.976;52.046.062;
HLS0198;NL:Q:42017901;4.297.951;52.019.862;
HLS0199;NL:Q:42017902;4.296.792;52.020.822;
HLS0200;NL:Q:42018101;4.328.519;52.082.702;
HLS0201;NL:Q:42018102;4.326.885;52.083.326;
HLS0202;NL:Q:42018201;4.302.055;52.018.264;
HLS0203;NL:Q:42018202;4.301.737;52.018.755;
HLS0204;NL:Q:42018501;4.350.785;52.093.965;
HLS0205;NL:Q:42018502;4.349.589;52.093.316;
HLS0206;NL:Q:42018701;4.416.687;52.059.120;
HLS0207;NL:Q:42018702;4.416.644;52.059.075;
HLS0208;NL:Q:42018901;4.293.286;52.059.989;
HLS0209;NL:Q:42018902;4.293.086;52.059.769;
HLS0212;NL:Q:42019701;4.235.364;52.039.536;
HLS0213;NL:Q:42019702;4.236.315;52.039.977;
HLS0214;NL:Q:42019801;4.406.458;52.068.105;
HLS0215;NL:Q:42019802;4.406.224;52.068.130;
HLS0217;NL:Q:42019901;4.292.380;52.058.839;
HLS0216;NL:Q:42019902;4.293.540;52.057.933;
HLS0218;NL:Q:42020001;4.367.013;52.031.941;
HLS0219;NL:Q:42020002;4.366.838;52.031.948;
HLS0222;NL:Q:42021201;4.170.661;52.001.976;
HLS0223;NL:Q:42021202;4.170.941;52.001.853;
HLS0224;NL:Q:42021301;4.172.801;51.997.153;
HLS0225;NL:Q:42021302;4.173.184;51.997.544;
HLS0226;NL:Q:42021601;4.169.892;51.993.824;
HLS0227;NL:Q:42021602;4.169.648;51.993.139;
HLS0228;NL:Q:42021701;4.167.944;52.007.090;
HLS0229;NL:Q:42021702;4.169.036;52.006.040;
HLS0230;NL:Q:42021801;4.248.576;52.048.473;
HLS0231;NL:Q:42021802;4.249.571;52.048.914;
HLS0232;NL:Q:42022002;4.164.353;52.000.419;
HLS0233;NL:Q:42022301;4.160.197;51.999.548;
HLS0234;NL:Q:42022302;4.160.418;51.999.470;
HLS0235;NL:Q:42022701;4.361.350;52.100.359;
HLS0236;NL:Q:42022702;4.360.956;52.100.355;
HLS0237;NL:Q:42023301;4.157.834;52.001.825;
HLS0238;NL:Q:42024101;4.223.653;52.006.144;
HLS0239;NL:Q:42024102;4.223.801;52.006.595;
HLS0240;NL:Q:42024201;4.220.332;52.008.933;
HLS0241;NL:Q:42024202;4.220.361;52.008.943;
HLS0243;NL:Q:42024602;4.221.426;52.003.281;
HLS0244;NL:Q:42026501;4.261.825;52.019.045;
HLS0245;NL:Q:42026601;4.254.182;52.014.756;
HLS0246;NL:Q:42026602;4.254.327;52.014.803;
HLS0248;NL:Q:42034001;4.273.006;51.939.087;
HLS0250;NL:Q:42034101;4.275.623;51.935.589;
HLS0251;NL:Q:42034102;4.275.786;51.935.455;
HLS0252;NL:Q:42034301;4.270.345;51.932.617;
HLS0253;NL:Q:42034302;4.270.303;51.932.545;
HLS0255;NL:Q:42034402;4.275.285;51.932.790;
HLS0256;NL:Q:42034901;4.270.170;51.929.730;
HLS0257;NL:Q:42034902;4.270.272;51.929.695;
HLS0258;NL:Q:42035001;4.272.159;51.925.147;
HLS0259;NL:Q:42035002;4.272.048;51.924.948;
HLS0260;NL:Q:42035003;4.272.119;51.925.020;
HLS0261;NL:Q:42035004;;NA;geen haltes gevonden
HLS0263;NL:Q:42035102;4.170.375;52.023.241;
HLS0264;NL:Q:42035202;4.177.758;52.029.340;
HLS0267;NL:Q:42035302;4.167.514;52.021.279;
HLS0268;NL:Q:42035601;4.198.669;52.042.560;
HLS0270;NL:Q:42035701;4.190.327;52.038.898;
HLS0271;NL:Q:42035702;4.190.618;52.038.910;
HLS0272;NL:Q:42035801;4.204.602;52.044.759;
HLS0274;NL:Q:42035902;4.173.231;52.026.471;
HLS0276;NL:Q:42036001;4.184.063;52.024.110;
HLS0277;NL:Q:42036002;4.184.529;52.023.558;
HLS0278;NL:Q:42036201;4.180.218;52.032.161;
HLS0279;NL:Q:42036202;4.180.531;52.032.425;
HLS0281;NL:Q:42040101;4.209.037;51.999.203;
HLS0282;NL:Q:42040102;4.209.049;51.999.293;
HLS0283;NL:Q:42040401;4.206.886;52.001.815;
HLS0284;NL:Q:42040402;4.207.424;52.001.290;
HLS0285;NL:Q:42040501;4.214.520;51.998.916;
HLS0286;NL:Q:42040502;4.214.495;51.998.745;
HLS0287;NL:Q:42040601;4.202.890;51.992.076;
HLS0288;NL:Q:42040602;4.202.326;51.993.041;
HLS0289;NL:Q:42040701;4.206.266;51.996.020;
HLS0290;NL:Q:42040702;4.206.525;51.996.148;
HLS0291;NL:Q:42041001;4.218.898;51.991.301;
HLS0292;NL:Q:42041002;4.219.524;51.991.307;
HLS0293;NL:Q:42041301;4.206.109;51.988.719;
HLS0294;NL:Q:42041302;4.205.584;51.988.750;
HLS0305;NL:Q:42058201;4.280.727;52.025.301;
HLS0304;NL:Q:42058202;4.281.466;52.025.470;
HLS0307;NL:Q:42058401;4.269.523;52.022.319;
HLS0308;NL:Q:42058402;4.269.222;52.022.127;
HLS0309;NL:Q:42058501;4.274.822;52.023.690;
HLS0315;NL:Q:42067701;4.334.246;52.080.542;
HLS0316;NL:Q:42067702;4.335.131;52.079.507;
HLS0317;NL:Q:42068501;4.385.711;51.989.513;
HLS0318;NL:Q:42069501;4.375.723;52.014.066;
HLS0319;NL:Q:42069502;4.375.749;52.014.192;
HLS0320;NL:Q:42070101;4.324.362;52.004.669;
HLS0321;NL:Q:42070102;4.324.363;52.004.615;
HLS0322;NL:Q:42070201;4.319.988;52.000.585;
HLS0323;NL:Q:42070202;4.320.035;52.000.450;
HLS0324;NL:Q:42070301;4.319.310;52.010.718;
HLS0325;NL:Q:42070302;4.319.169;52.010.528;
HLS0327;NL:Q:42071601;4.245.703;51.974.161;
HLS0328;NL:Q:42071602;4.245.839;51.973.965;
HLS0329;NL:Q:42071901;4.350.302;52.004.649;
HLS0330;NL:Q:42072001;4.351.295;52.003.894;
HLS0374;NL:Q:42072401;4.379.545;52.017.739;
HLS0334;NL:Q:42072701;4.322.048;52.007.669;
HLS0335;NL:Q:42072702;4.321.908;52.007.443;
HLS0336;NL:Q:42072901;4.383.181;52.032.287;
HLS0337;NL:Q:42072902;4.383.063;52.032.376;
HLS0338;NL:Q:42073401;4.388.105;52.034.351;
HLS0339;NL:Q:42073402;4.387.812;52.034.429;
HLS0340;NL:Q:42074401;4.357.765;51.991.069;
HLS0341;NL:Q:42074402;4.357.370;51.991.138;
HLS0344;NL:Q:42075701;4.376.178;51.996.506;
HLS0345;NL:Q:42075702;4.376.815;51.995.990;
HLS0346;NL:Q:42075801;4.373.804;51.999.703;
