,PO: REI3D101,Unnamed: 1,Route: REI-D101,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
43,14,961254,WERKORDER,Erasmusweg/Beresteinlaan,STADSENET,HLT3340,"Halte, NL:Q:32003340 Ambachtsweg",REI,POH,KUITV,
44,15,961255,WERKORDER,Beresteinlaan 204,STADSENET,HLT3371,"Halte, NL:Q:32003371 Ambachtsweg",REI,POH,KUITV,
45,16,961256,WERKORDER,Erasmusweg 2000,STADSENET,HLT3357,"Halte, NL:Q:32003357 Lozerlaan",REI,POH,KUITV,
46,17,961257,WERKORDER,Erasmusweg 2000,STADSENET,HLT3339,"Halte, NL:Q:32003339 Lozerlaan",REI,POH,KUITV,
47,18,961258,WERKORDER,Erasmusweg/Beresteinlaan,STADSENET,HLT3341,"Halte, NL:Q:32003341 Ambachtsweg",REI,POH,KUITV,
48,19,961259,WERKORDER,Erasmusweg 441,STADSENET,HLT3342,"Halte, NL:Q:32003342 Vrederustlaan",REI,POH,KUITV,
49,20,961260,WERKORDER,Loevesteinlaan 895,STADSENET,HLT3612,"Halte, NL:Q:32003612 Cannenburglaan",REI,POH,KUITV,
50,21,961261,WERKORDER,Loevesteinlaan 588,STADSENET,HLT3613,"Halte, NL:Q:32003613 Cannenburglaan",REI,POH,KUITV,
51,22,961262,WERKORDER,Midachtenweg/Guntersteinweg,STADSENET,HLS0142,"Halte, NL:Q:42012701 Guntersteinweg",REI,POH,KUITV,
52,23,961263,WERKORDER,Midachtenweg/Guntersteinweg,STADSENET,HLS0143,"Halte, NL:Q:42012702 Guntersteinweg",REI,POH,KUITV,
53,24,,WERKORDER,Leyweg/Carry van Bruggenhof,STADSENET,HLT4015,"Halte, NL:Q:32004015 Carry van Bruggenhof",REI,POH,KUITV,Verplaatst van D103 naar D102
54,25,,WERKORDER,Leyweg/Carry van Bruggenhof,STADSENET,HLT4016,"Halte, NL:Q:32004016 Carry van Bruggenhof",REI,POH,KUITV,Verplaatst van D103 naar D102
55,,,,,,,,,,,
56,PO: REI3D103,,Route: REI-D103,,,,,,,,
57,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,,,,Opmerkingen 
58,1,,HLT3912,BEHEER,"Halte, NL:Q:32003912 Wegastraat",Brinckhorstlaan 170,REI-0023,,,,Verplaatst van D102 naar D103
59,2,,HLT3903,BEHEER,"Halte, NL:Q:32003903 Poolsterstraat",Brinckhorstlaan 46,REI-0023,,,,Verplaatst van D102 naar D103
60,3,,HLT3904,BEHEER,"Halte, NL:Q:32003904 Poolsterstraat",Brinckhorstlaan,REI-0023,,,,Verplaatst van D102 naar D103
61,4,,HLT3906,BEHEER,"Halte, NL:Q:32003906 Wegastraat",Mecuriusweg/Binckhorstlaan,REI-0023,,,,Verplaatst van D102 naar D103
62,5,,HLT3905,BEHEER,"Halte, NL:Q:32003905 Wegastraat",Brinckhorstlaan 125,REI-0023,,,,Verplaatst van D102 naar D103
63,6,,HLT7108,UITBEH,"Halte, NL:Q:32007108 Saturnusstraat",Verlengde Melkwegstraat/Maanweg,REI-0023,,,,Verwijderen
64,7,,HLS0307,BEHEER,"Halte, NL:Q:42058401 Harry Hoekstraat",Heulweg 45  Westland/Middendelfland,REI-0023,,,,
65,8,,HLS0308,BEHEER,"Halte, NL:Q:42058402 Harry Hoekstraat",Heulweg 54  Westland/Middendelfland,REI-0023,,,,
66,9,,HLS0309,BEHEER,"Halte, NL:Q:42058501 Plein",Herenstraat 2 Westland/Middendelfland,REI-0023,,,,
67,10,,HLS0304,BEHEER,"Halte, NL:Q:42058202 De Ark",Herenstraat 85 Westland/Middendelfland,REI-0023,,,,
68,11,,HLS0305,BEHEER,"Halte, NL:Q:42058201 De Ark",Herenstraat 85 Westland/Middendelfland,REI-0023,,,,
69,12,,HLS0235,BEHEER,"Halte, NL:Q:42022701 Zuidwerflaan",Bezuidenhoutseweg 480,REI-0023,,,,
70,13,,HLS0236,BEHEER,"Halte, NL:Q:42022702 Zuidwerflaan",Bezuidenhoutseweg 480,REI-0023,,,,
71,14,,HLS0152,BEHEER,"Halte, NL:Q:42013302 Hofzichtlaan",Bezuidenhoutseweg 429,REI-0023,,,,
72,15,,HLS0205,BEHEER,"Halte, NL:Q:42018502 Reigersbergenweg",Bezuidenhoutseweg/Reigersbergenweg,REI-0023,,,,
