solution,season,prob,penalty,avg_totalOT,numOT,avg_totalOT15,numOT15,avg_numMoves,avg_numMoves15,avg_numStopMoved,avg_numStopMoved15,stillInfeas,stillInfeas15,avg_increaseTT
VND,autumn,0.25,3,5.515348133021076,100,1.474058637750679,100,27.36,6.09,27.35,6.09,22,0,1.9897605260550772
VND,autumn,0.25,5,9.893079458891421,100,4.0303086352106865,100,41.51,18.2,41.48,18.19,74,8,3.3916038195470373
VND,autumn,0.5,3,11.885252089470205,100,5.181935097287302,100,48.35,23.71,48.33,23.63,95,8,3.953482498523935
VND,autumn,0.5,5,21.636612505883186,100,13.903843960699405,100,50.0,49.49,50.0,49.47,100,97,4.787537246226038
VND,autumn,1.0,3,26.52543247826585,100,18.503822728383042,100,50.0,50.0,50.0,50.0,100,100,5.2656326401500495
VND,summer,-,3,1.5726204335272598,1,0.5405811652875437,1,5.0,1.0,5.0,1.0,0,0,0.12342853685477095
VND,summer,-,5,2.2411427627069345,1,0.8238544922342385,1,8.0,3.0,8.0,3.0,0,0,0.6879334291796226
VND,summer,-,10,4.074476096040268,1,1.9579471359560443,1,13.0,6.0,13.0,6.0,0,0,1.4812536319270393
