solution,season,prob,penalty,avg_totalOT,numOT,avg_totalOT15,numOT15,avg_numMoves,avg_numMoves15,avg_numStopMoved,avg_numStopMoved15,stillInfeas,stillInfeas15,avg_increaseTT
TSP,autumn,0.25,3,2.031918212132186,100,0.341378512528263,99,9.66,3.17,129.14,43.64,0,0,0.17616009244184333
TSP,autumn,0.25,5,4.097157367059635,100,1.4303719939924804,100,14.06,6.92,152.57,95.79,0,0,0.316727264168499
TSP,autumn,0.5,3,4.980132646606118,100,1.8572375686565956,100,16.45,8.61,167.05,115.11,0,0,0.32324267086317304
TSP,autumn,0.5,5,11.156701022228448,100,6.188553060506155,100,22.17,16.99,225.55,180.42,0,0,1.1267659445370761
TSP,autumn,1.0,3,14.445499177449085,100,8.706841795233265,100,29.0,22.0,178.0,224.0,0,0,1.6051857548770159
TSP,summer,-,3,0.5997268882862651,1,0.0,0,6.0,0.0,81.0,0.0,0,0,-0.03133089775508324
TSP,summer,-,5,0.9330602216195985,1,0.13718293065846582,1,5.0,2.0,37.0,4.0,0,0,0.28928995515562406
TSP,summer,-,10,1.8369078860510635,1,0.9705162639917982,1,6.0,2.0,59.0,7.0,0,0,0.2857152838342145
