solution,season,prob,penalty,avg_totalOT,numOT,avg_totalOT15,numOT15,avg_numMoves,avg_numMoves15,avg_numStopMoved,avg_numStopMoved15,stillInfeas,stillInfeas15,avg_increaseTT
HTM,autumn,0.25,3,4.510384530268374,100,1.5150293802749284,100,17.1,8.21,17.1,8.21,0,0,0.0036769821681507152
HTM,autumn,0.25,5,7.346145380988404,100,3.3791423340052957,100,24.26,13.51,24.26,13.51,0,0,0.06559685753118501
HTM,autumn,0.5,3,8.574465250723627,100,4.154516283774188,100,27.81,15.72,27.81,15.72,0,0,0.054440343761087105
HTM,autumn,0.5,5,15.395558084743575,100,9.809873936993695,100,41.56,28.58,48.45,28.58,2,0,1.5755053205838576
HTM,autumn,1.0,3,18.806310325253484,100,12.88450011218667,100,50.0,35.0,50.0,35.0,100,0,3.0799238460681915
HTM,summer,-,3,2.1461459635092335,1,0.26858024510332446,1,11.0,1.0,11.0,1.0,0,0,-0.10844517502448525
HTM,summer,-,5,2.5461459635092325,1,0.5897854194816953,1,13.0,2.0,13.0,2.0,0,0,-0.14399810408947644
HTM,summer,-,10,3.775793296971296,1,1.4501118045533425,1,16.0,5.0,16.0,5.0,0,0,-0.07288880156855981
