solution,season,prob,penalty,avg_totalOT,numOT,avg_totalOT15,numOT15,avg_numMoves,avg_numMoves15,avg_numStopMoved,avg_numStopMoved15,stillInfeas,stillInfeas15,avg_increaseTT
HTM,autumn,0.25,3,4.510384530268374,100,1.5150293802749284,100,15.18,8.34,177.98,90.84,0,0,-0.25662356295977184
HTM,autumn,0.25,5,7.346145380988404,100,3.3791423340052957,100,18.88,12.52,220.49,142.84,0,0,0.130337060119003
HTM,autumn,0.5,3,8.574465250723627,100,4.154516283774188,100,20.41,14.22,235.47,163.7,0,0,0.28496967900022796
HTM,autumn,0.5,5,15.395558084743575,100,9.809873936993695,100,33.06,20.7,267.17,231.97,16,0,1.7913873570112555
HTM,autumn,1.0,3,18.806310325253484,100,12.88450011218667,100,39.0,22.0,273.0,227.0,0,0,2.6161766420737553
HTM,summer,-,3,2.1461459635092335,1,0.26858024510332446,1,11.0,1.0,126.0,9.0,0,0,5.085410206717711E-4
HTM,summer,-,5,2.5461459635092325,1,0.5897854194816953,1,11.0,2.0,167.0,42.0,0,0,0.08100647938066885
HTM,summer,-,10,3.775793296971296,1,1.4501118045533425,1,13.0,3.0,151.0,48.0,0,0,0.18806676739804828
