solution,season,prob,penalty,avg_totalOT,numOT,avg_totalOT15,numOT15,avg_numMoves,avg_numMoves15,avg_numStopMoved,avg_numStopMoved15,stillInfeas,stillInfeas15,avg_increaseTT
TSP,autumn,0.25,3,2.031918212132186,100,0.341378512528263,99,9.73,3.17,9.73,3.17,0,0,0.1281004573420789
TSP,autumn,0.25,5,4.097157367059635,100,1.4303719939924804,100,15.48,7.02,15.48,7.02,0,0,0.26871375910084766
TSP,autumn,0.5,3,4.980132646606118,100,1.8572375686565956,100,18.37,8.69,18.37,8.69,0,0,0.3187767972853823
TSP,autumn,0.5,5,11.156701022228448,100,6.188553060506155,100,31.87,20.06,31.86,20.06,1,0,1.6381161718997197
TSP,autumn,1.0,3,14.445499177449085,100,8.706841795233265,100,37.0,29.0,37.0,29.0,100,0,2.6958236125837836
TSP,summer,-,3,0.5997268882862651,1,0.0,0,5.0,0.0,5.0,0.0,0,0,-0.032553322807231666
TSP,summer,-,5,0.9330602216195985,1,0.13718293065846582,1,5.0,2.0,5.0,2.0,0,0,0.1237315671717596
TSP,summer,-,10,1.8369078860510635,1,0.9705162639917982,1,8.0,4.0,8.0,4.0,0,0,0.09565958486505366
