solution,season,prob,penalty,avg_totalOT,numOT,avg_totalOT15,numOT15,avg_numMoves,avg_increaseTT
VND,autumn,0.25,3,5.515348133021076,100,1.474058637750679,100,27.72,2.0139667453581858
VND,summer,-,3,1.5726204335272598,1,0.5405811652875437,1,5.0,0.11926086477890507
VND,summer,-,5,2.2411427627069345,1,0.8238544922342385,1,8.0,0.5450488509887919
VND,summer,-,10,4.074476096040268,1,1.9579471359560443,1,12.0,1.3121475915764833
